Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6
ais,0,4.58136E-05,6.10849E-05,1.52712E-05,6.10966E-05,4.58136E-05
charol,0,0.000116116,0,0.000638636,0.000116138,0
choror,0,0,0,0,0,0
ckheedy,3.39617E-05,0.000101885,0.000271693,0.000101885,0,0
daiinol,0.00012217,1.52712E-05,1.52712E-05,4.58136E-05,0,3.05424E-05
chyaiin,0,0,6.79233E-05,0.000339617,3.39682E-05,6.79233E-05
dainal,7.63561E-05,1.52712E-05,3.05424E-05,9.16273E-05,1.52742E-05,0
dydar,5.80579E-05,0.000754752,0,5.80579E-05,0,0
eey,0,0.000137441,3.05424E-05,1.52712E-05,3.05483E-05,1.52712E-05
okar,0,0,0,0,0,0
odyal,7.63561E-05,3.05424E-05,4.58136E-05,0,4.58225E-05,3.05424E-05
oldol,0,0,0,0,0,0
san,4.58136E-05,3.05424E-05,6.10849E-05,7.63561E-05,0,1.52712E-05
qodyal,0.000580579,5.80579E-05,0,0.000232231,0,0
otedy,0,0,0,0,0,0
qokedy,0,0,0,0,0,0
sy,0,0,0,0,0,0
yshy,4.58136E-05,7.63561E-05,0,3.05424E-05,4.58225E-05,3.05424E-05
ychedy,0,0,0,0,0,0
aldal,6.10849E-05,3.05424E-05,3.05424E-05,3.05424E-05,0,6.10849E-05
amar,3.05424E-05,0,3.05424E-05,3.05424E-05,0.000106919,1.52712E-05
anom,0,0,0,0.000116116,0.000232276,0.000464463
alor,0,0,0,0,0,0
chalar,1.52712E-05,3.05424E-05,6.10849E-05,7.63561E-05,0,3.05424E-05
cheedyar,5.80579E-05,0,0,0.000406405,0.000348414,0
chtor,0,0,0.000169808,3.39617E-05,0.000237778,3.39617E-05
choly,0.000237732,6.79233E-05,0,0.000101885,0,6.79233E-05
ed,6.10849E-05,3.05424E-05,0,3.05424E-05,3.05483E-05,6.10849E-05
ochom,0,4.58136E-05,4.58136E-05,6.10849E-05,3.05483E-05,3.05424E-05
odyol,7.63561E-05,1.52712E-05,7.63561E-05,0,1.52742E-05,3.05424E-05
osar,0.000271693,6.79233E-05,0,0,3.39682E-05,0.000101885
qokain,0.000271693,0,0.000101885,3.39617E-05,6.79364E-05,0
so,0,0,0,0,0,0
ykain,0.000522521,0,5.80579E-05,0,0,0.000232231
ykedy,0.000169808,0.000135847,0,6.79233E-05,0.000101905,0
aiirol,1.52712E-05,1.52712E-05,4.58136E-05,9.16273E-05,0,3.05424E-05
archedy,0.000101885,0.000101885,0,0.000169808,6.79364E-05,0
ardain,0,0,0,0,0,0
aro,6.79233E-05,0.00020377,6.79233E-05,0.000101885,0,0
chtam,0,0,5.80579E-05,0,0.000348414,0.000348347
chto,0,3.05424E-05,1.52712E-05,4.58136E-05,9.1645E-05,1.52712E-05
chtan,6.10849E-05,1.52712E-05,0,6.10849E-05,4.58225E-05,1.52712E-05
ckhchd,0,0,0.001104234,9.20195E-05,0,0
dais,3.05424E-05,3.05424E-05,7.63561E-05,0,4.58225E-05,1.52712E-05
okor,4.58136E-05,4.58136E-05,4.58136E-05,0,4.58225E-05,1.52712E-05
okol,0,0,0,0,0,0
oldar,4.58136E-05,3.05424E-05,3.05424E-05,3.05424E-05,0,6.10849E-05
osham,0,0,0.000169808,0.000101885,6.79364E-05,0.000101885
omom,6.10849E-05,6.10849E-05,0,1.52712E-05,3.05483E-05,3.05424E-05
qokar,7.63561E-05,1.52712E-05,6.10849E-05,0,3.05483E-05,1.52712E-05
otal,7.63561E-05,3.05424E-05,0,4.58136E-05,1.52742E-05,3.05424E-05
oydy,0,0,0.001951006,0,0,0
ydal,3.05424E-05,1.52712E-05,4.58136E-05,3.05424E-05,0,7.63561E-05
yshd,0,0,0.000101885,3.39617E-05,0.000203809,0.000101885
ytol,0.000271693,3.39617E-05,0.000101885,3.39617E-05,0,0
aiis,0,0,0,0,0,0
charal,3.05424E-05,1.52712E-05,4.58136E-05,3.05424E-05,0,6.10849E-05
charor,0,0,0,0,0,0
ary,0,7.63561E-05,4.58136E-05,3.05424E-05,1.52742E-05,1.52712E-05
chko,3.39617E-05,0,0.000101885,0.000101885,0.000169841,0
chtal,0,0.000101885,6.79233E-05,0,0.000135873,0.000101885
chyar,0,0.000135847,0,0.000101885,0.000135873,3.39617E-05
chpedy,3.39617E-05,0,0.000135847,0.000169808,6.79364E-05,0
dam,1.52712E-05,6.10849E-05,0,1.52712E-05,4.58225E-05,4.58136E-05
kal,3.05424E-05,1.52712E-05,7.63561E-05,0,1.52742E-05,4.58136E-05
ochdy,0,0,0.000464463,0,5.80691E-05,0.000174174
oeeol,6.10849E-05,0,1.52712E-05,6.10849E-05,3.05483E-05,1.52712E-05
okeed,3.05424E-05,0,1.52712E-05,4.58136E-05,1.52742E-05,7.63561E-05
oedy,3.39617E-05,3.39617E-05,0.00020377,0,0,0.000135847
oal,0,0.000135847,0,0.000169808,3.39682E-05,6.79233E-05
ockhol,6.10849E-05,0,3.05424E-05,3.05424E-05,4.58225E-05,1.52712E-05
odain,0,0,0,0,0,0
olo,0.000305655,0,0,3.39617E-05,3.39682E-05,3.39617E-05
olshol,3.05424E-05,1.52712E-05,0,9.16273E-05,3.05483E-05,1.52712E-05
qokol,0.00020377,0,6.79233E-05,0.000101885,3.39682E-05,0
qotol,0.000406405,0,5.80579E-05,0.000232231,0,0
qodar,6.10849E-05,3.05424E-05,4.58136E-05,3.05424E-05,0,1.52712E-05
qokal,0.000169808,3.39617E-05,0,0.000135847,0,6.79233E-05
shdain,0,0,0,0,0,0
shkar,0,0,0.000135847,0.000101885,0.000101905,6.79233E-05
tan,6.10849E-05,0,3.05424E-05,1.52712E-05,4.58225E-05,3.05424E-05
shalar,1.52712E-05,3.05424E-05,0,7.63561E-05,4.58225E-05,1.52712E-05
sheedy,0,0,0,0,0,0
shedy,0,0,0,0,0,0
ytar,0,0,0,0,0,0
yal,1.52712E-05,4.58136E-05,1.52712E-05,9.16273E-05,0,1.52712E-05
yor,0,0.000135847,0,3.39617E-05,0.000101905,0.000135847
yeedy,5.80579E-05,0,0.000580579,5.80579E-05,0,0
alchal,0,0,0.000135847,3.39617E-05,0.000101905,0.000101885
aiiinal,5.80579E-05,0.000232231,0,0,0.000348414,0
alo,0.000116116,0,0,0.000174174,0,0.000348347
chdor,1.52712E-05,3.05424E-05,0,3.05424E-05,6.10966E-05,3.05424E-05
cham,0,0,0,0,0,0
cheyal,0,0.000644137,0.000368078,0,0,0
chorar,0,0,0,0,0,0
ckhol,4.58136E-05,1.52712E-05,4.58136E-05,0,1.52742E-05,4.58136E-05
chs,0,6.79233E-05,0.000237732,0,3.39682E-05,3.39617E-05
choshol,1.52712E-05,4.58136E-05,0,4.58136E-05,4.58225E-05,1.52712E-05
kchar,6.79233E-05,0,0.000101885,0,0.000135873,6.79233E-05
ko,1.52712E-05,3.05424E-05,3.05424E-05,6.10849E-05,3.05483E-05,0
ockhal,3.39617E-05,6.79233E-05,0.000101885,0,0.000169841,0
oeeor,0,1.52712E-05,1.52712E-05,3.05424E-05,3.05483E-05,7.63561E-05
kor,0,0,0.000169808,3.39617E-05,3.39682E-05,0.000135847
qoeey,0,3.39617E-05,0,0.000169808,6.79364E-05,0.000101885
oshom,6.10849E-05,0,1.52712E-05,3.05424E-05,1.52742E-05,4.58136E-05
teedy,6.10849E-05,4.58136E-05,3.05424E-05,1.52712E-05,1.52742E-05,0
yar,0,0.000290289,0,0,0.000232276,0.000116116
ychdy,0,0,0.000237732,3.39617E-05,3.39682E-05,6.79233E-05
tor,3.05424E-05,3.05424E-05,7.63561E-05,0,1.52742E-05,1.52712E-05
ykar,6.10849E-05,0,1.52712E-05,1.52712E-05,4.58225E-05,3.05424E-05
alain,1.52712E-05,3.05424E-05,3.05424E-05,3.05424E-05,4.58225E-05,0
aimor,0,0.000644137,0,0.000276059,0,0
aran,0.000116116,0,0.000348347,0,0,0.000116116
arararar,0.000174174,0.000290289,0.000116116,0,0,0
