word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars
aiir,1.43065E-05,0.000115613,0,0.000140367
cheeo,0,9.28532E-05,0,0.000422755
cheos,1.43065E-05,0.000231225,0,0.000105276
lkchedy,0.000172352,0,0,0.000310021
qokeol,2.8613E-05,3.85375E-05,0,0.000152065
ral,0.000344704,0,0,0.000169102
rar,0.000172352,0,0,0.000310021
chodaiin,2.8613E-05,3.85375E-05,0,0.000140367
chety,7.15325E-05,0.000231225,0,4.67892E-05
dl,0.000114452,3.85375E-05,0,7.01837E-05
keody,2.8613E-05,0.000385375,0,3.50919E-05
okeody,1.43065E-05,0.000346838,0,5.84864E-05
qopchdy,0,0,0,0
qor,0.000114452,3.85375E-05,0,7.01837E-05
qokeody,2.8613E-05,0.000346838,0,4.67892E-05
ror,0.000241293,0,0,0.00022547
shear,7.15325E-05,3.85375E-05,0,0.000105276
tchdy,0,0,0,0
sho,0,0,0,0
tain,0.000206822,0,0,0.000253653
chky,0,0,0,0
dary,7.15325E-05,0.000192688,0,4.67892E-05
lo,0.000241293,0,0,0.000197286
odain,0,0,0,0
oteody,2.8613E-05,0.00015415,0,9.35783E-05
qokeed,8.5839E-05,3.85375E-05,0,8.1881E-05
shedaiin,0.000157372,3.85375E-05,0,2.33946E-05
teey,0.000206822,0,0,0.00022547
chckhdy,0.000100146,0.00015415,0,2.33946E-05
laiin,2.8613E-05,3.85375E-05,0,0.000116973
lcheey,0.000103411,0,0,0.000281837
okchy,0,0,0,0
okaly,7.15325E-05,0.00015415,0,4.67892E-05
qoaiin,4.29195E-05,7.70751E-05,0,9.35783E-05
shal,0.000172352,0,0,0.00022547
ram,0.000137882,0,0,0.000253653
sheeky,8.5839E-05,3.85375E-05,0,7.01837E-05
teedy,0,0,0,0
ychedy,0.000128759,3.85375E-05,0,3.50919E-05
cho,0,9.28532E-05,0,0.000310021
choty,4.29195E-05,7.70751E-05,0,8.1881E-05
chos,0,0.000185706,0,0.000281837
ly,0,0,0,0
lr,5.7226E-05,7.70751E-05,0,7.01837E-05
olain,0.000275763,0,0,0.000112735
orol,0.000114452,3.85375E-05,0,3.50919E-05
otchy,8.5839E-05,0,0.000457651,4.67892E-05
qody,7.15325E-05,7.70751E-05,0,5.84864E-05
qotor,4.29195E-05,7.70751E-05,0,8.1881E-05
qokaly,8.5839E-05,7.70751E-05,0,4.67892E-05
qokair,1.43065E-05,0,0.000228826,0.000116973
qotchy,0,0,0,0
sheal,0.000103411,0,0,0.000253653
tair,1.43065E-05,7.70751E-05,0,0.000105276
tal,0.00082729,0,0,0
aral,4.29195E-05,0,0.000228826,8.1881E-05
chckhedy,7.15325E-05,7.70751E-05,0,4.67892E-05
arody,2.8613E-05,3.85375E-05,0,9.35783E-05
chkain,0,0,0,0
chkal,1.43065E-05,7.70751E-05,0,9.35783E-05
ky,0,0,0,0
fchedy,7.15325E-05,7.70751E-05,0,4.67892E-05
kair,2.8613E-05,7.70751E-05,0,8.1881E-05
olkal,0.000206822,0,0,0.000140918
olshey,0.000275763,0,0,8.45511E-05
om,2.8613E-05,7.70751E-05,0,8.1881E-05
ory,0.000100146,7.70751E-05,0,2.33946E-05
pchedar,0,0,0,0
pchey,0.000100146,7.70751E-05,0,2.33946E-05
otshedy,0.000172352,0,0,0.000169102
qokshedy,0.000310234,0,0,5.63674E-05
qokeor,8.5839E-05,3.85375E-05,0,4.67892E-05
qotchey,4.29195E-05,0,0.000228826,8.1881E-05
qolchey,0.000344704,0,0,2.81837E-05
shedal,0.000100146,3.85375E-05,0,3.50919E-05
rchedy,8.5839E-05,3.85375E-05,0,4.67892E-05
shedain,0,0,0.000551337,0.000281837
shky,4.29195E-05,0.00015415,0,4.67892E-05
sy,0.000100146,7.70751E-05,0,2.33946E-05
ykal,0,0,0,0
tor,0,0,0,0
ytain,0.000206822,0,0,0.000140918
ypchedy,0,0.000649972,0,0.000112735
arol,8.5839E-05,3.85375E-05,0,3.50919E-05
araiin,0.000103411,0,0,0.000197286
chdam,0,0,0,0
chaiin,0,0,0,0
ckhy,1.43065E-05,0.0003083,0,1.16973E-05
dshey,0,0,0,0
oaiin,0,0.000185706,0,0.00022547
olkey,0.000114452,3.85375E-05,0,1.16973E-05
okeeo,0,0,0,0.000563674
olol,0.000310234,0,0,2.81837E-05
otedar,6.89408E-05,0,0,0.00022547
os,5.7226E-05,3.85375E-05,0,5.84864E-05
qoeey,3.44704E-05,0,0,0.000253653
pchdy,4.29195E-05,0.000115613,0,4.67892E-05
qodain,2.8613E-05,0,0.000228826,8.1881E-05
qolchedy,0.000689408,0,0,0
qokechy,6.89408E-05,0,0,0.00022547
shek,5.7226E-05,7.70751E-05,0,4.67892E-05
she,1.43065E-05,0.000192688,0,4.67892E-05
sheos,0,0,0,0
tchey,5.7226E-05,7.70751E-05,0,4.67892E-05
ycheol,1.43065E-05,0,0.000228826,9.35783E-05
ytchedy,0,0.000371413,0,0.000169102
yshey,0.000137882,0,0,0.000169102
yshedy,0.000114452,0,0.000228826,1.16973E-05
chekal,1.43065E-05,0.000192688,0,3.50919E-05
chkaiin,1.43065E-05,7.70751E-05,0,7.01837E-05
cthedy,4.29195E-05,0.000115613,0,3.50919E-05
cthey,1.43065E-05,0.00015415,0,4.67892E-05
daldy,8.5839E-05,3.85375E-05,0,2.33946E-05
lcheedy,6.89408E-05,0,0,0.000197286
kol,0,0,0,0
lkl,6.89408E-05,0,0,0.000197286
oiiin,4.29195E-05,7.70751E-05,0,4.67892E-05
oar,2.8613E-05,0,0.000228826,7.01837E-05
olkeeey,0.000103411,0,0,0.000169102
okeeedy,3.44704E-05,0,0,0.00022547
olar,2.8613E-05,7.70751E-05,0,5.84864E-05
okees,5.7226E-05,0.000115613,0,2.33946E-05
olcheey,2.8613E-05,3.85375E-05,0,7.01837E-05
ols,7.15325E-05,3.85375E-05,0,3.50919E-05
otaly,5.7226E-05,0,0.000228826,4.67892E-05
qokeeody,0,0.000185706,0,0.000197286
qotam,3.44704E-05,0,0,0.00022547
qokl,0.000103411,0,0,0.000169102
sheod,0,0.00027856,0,0.000169102
shee,0,0.000464266,0,0.000112735
sheeol,5.7226E-05,3.85375E-05,0,4.67892E-05
shckhey,7.15325E-05,7.70751E-05,0,2.33946E-05
ry,7.15325E-05,3.85375E-05,0,3.50919E-05
soiin,0.000137882,0,0,0.000140918
teol,7.15325E-05,3.85375E-05,0,3.50919E-05
ytam,5.7226E-05,0.00015415,0,1.16973E-05
ykain,7.15325E-05,0.000115613,0,1.16973E-05
ytchdy,0,0,0,0
ycheo,0,9.28532E-05,0,0.00022547
yty,0,0,0,0
ysheey,7.15325E-05,3.85375E-05,0,3.50919E-05
chain,3.44704E-05,0,0,0.000197286
chdain,0,0,0,0
alol,2.8613E-05,7.70751E-05,0,4.67892E-05
chdor,1.43065E-05,3.85375E-05,0,7.01837E-05
aram,0,0,0,0
cheeody,0,9.28532E-05,0,0.000197286
chokaiin,6.89408E-05,0,0,0.000169102
cthdy,5.7226E-05,0.000115613,0,1.16973E-05
cphedy,0,0,0,0
kchey,5.7226E-05,3.85375E-05,0,3.50919E-05
lcheol,0.000137882,0,0,0.000112735
lchy,0.000241293,0,0,2.81837E-05
kor,1.43065E-05,0.000231225,0,1.16973E-05
keol,6.89408E-05,0,0,0.000169102
lkchey,3.44704E-05,0,0,0.000197286
oain,0,9.28532E-05,0,0.000197286
ochedy,4.29195E-05,3.85375E-05,0,4.67892E-05
lkeeey,0,0,0,0.000450939
lsheey,0.000172352,0,0,8.45511E-05
olchdy,7.15325E-05,7.70751E-05,0,1.16973E-05
olkam,5.7226E-05,3.85375E-05,0,3.50919E-05
okeeody,0,9.28532E-05,0,0.000197286
okshey,4.29195E-05,0,0.000228826,4.67892E-05
okor,0,0,0,0
oteeey,0,0,0,0.000450939
oteeo,0,0,0,0.000450939
oteed,1.43065E-05,3.85375E-05,0,7.01837E-05
otody,0,0,0,0
oram,4.29195E-05,3.85375E-05,0,4.67892E-05
qockhey,0.000137882,0,0,0.000112735
qoteody,6.89408E-05,0,0,0.000169102
qokan,5.7226E-05,0,0.000228826,3.50919E-05
qokedar,4.29195E-05,7.70751E-05,0,3.50919E-05
qofchedy,1.43065E-05,7.70751E-05,0,5.84864E-05
qokshey,8.5839E-05,0,0.000228826,1.16973E-05
qokees,4.29195E-05,0.00015415,0.000228826,0
shdar,0.000172352,0,0,8.45511E-05
solchedy,0.000241293,0,0,2.81837E-05
ychey,5.7226E-05,3.85375E-05,0,3.50919E-05
ty,4.29195E-05,0.00015415,0.000228826,0
tshey,4.29195E-05,0,0.000457651,3.50919E-05
tshedy,4.29195E-05,0,0.000228826,4.67892E-05
chcthedy,2.8613E-05,7.70751E-05,0,3.50919E-05
checkhey,1.43065E-05,3.85375E-05,0,5.84864E-05
alkain,0,0,0.000551337,0.000169102
chcthdy,4.29195E-05,7.70751E-05,0,2.33946E-05
chd,1.43065E-05,0.000192688,0,1.16973E-05
chekar,0,0,0,0
choky,0,0,0,0
chekain,2.8613E-05,0,0.000228826,4.67892E-05
chokain,3.44704E-05,0,0,0.000169102
chs,2.8613E-05,3.85375E-05,0,4.67892E-05
chockhy,0,9.28532E-05,0,0.000169102
dchdy,5.7226E-05,3.85375E-05,0.000457651,0
dcheol,4.29195E-05,3.85375E-05,0,3.50919E-05
daiiin,2.8613E-05,3.85375E-05,0,4.67892E-05
d,0.000103411,0.000371413,0,0
dsheol,2.8613E-05,7.70751E-05,0,3.50919E-05
daiir,1.43065E-05,0.00015415,0,2.33946E-05
keeey,1.43065E-05,3.85375E-05,0,5.84864E-05
key,2.8613E-05,3.85375E-05,0,4.67892E-05
odal,1.43065E-05,7.70751E-05,0,4.67892E-05
ofchedy,0.000172352,0,0,5.63674E-05
ltedy,0.000103411,0,0,0.000112735
lkey,0.000103411,0,0,0.000112735
lkam,3.44704E-05,0,0,0.000169102
ls,4.29195E-05,0,0.000228826,3.50919E-05
octhy,2.8613E-05,3.85375E-05,0,4.67892E-05
olchy,5.7226E-05,3.85375E-05,0,2.33946E-05
okeeor,2.8613E-05,3.85375E-05,0,4.67892E-05
opal,1.43065E-05,3.85375E-05,0,5.84864E-05
opchy,0,9.28532E-05,0,0.000169102
oteor,1.43065E-05,3.85375E-05,0,5.84864E-05
pcheol,0.000137882,0,0,8.45511E-05
polaiin,3.44704E-05,0,0,0.000169102
qoly,0.000482586,0,0,0
qoked,0.000137882,0,0,8.45511E-05
qotody,1.43065E-05,3.85375E-05,0,5.84864E-05
qok,2.8613E-05,3.85375E-05,0,4.67892E-05
qopchey,6.89408E-05,0,0,0.000140918
qokaldy,2.8613E-05,0.00015415,0,1.16973E-05
qolkeedy,0.000206822,0,0,2.81837E-05
schedy,7.15325E-05,3.85375E-05,0,1.16973E-05
rshedy,0.000482586,0,0,0
sheety,0.000206822,0,0,2.81837E-05
shedar,0,0,0,0
sheeo,0,0.000185706,0,0.000140918
shod,1.43065E-05,3.85375E-05,0,5.84864E-05
shodaiin,6.89408E-05,0,0,0.000140918
shety,0.000172352,0,0,5.63674E-05
ycheedy,6.89408E-05,0,0,0.000140918
ytal,0.000206822,9.28532E-05,0,0
ykchedy,4.29195E-05,0,0.000228826,3.50919E-05
chedol,0.000103411,0,0,8.45511E-05
chedam,0,0,0,0.000338204
arar,2.8613E-05,3.85375E-05,0,3.50919E-05
chcphy,1.43065E-05,3.85375E-05,0,4.67892E-05
aldy,2.8613E-05,7.70751E-05,0,2.33946E-05
cham,2.8613E-05,7.70751E-05,0,2.33946E-05
aror,0.000137882,0,0,5.63674E-05
chkeey,1.43065E-05,0.000115613,0,2.33946E-05
cheeey,0,0,0,0.000338204
cheeos,0,0.000185706,0,0.000112735
chkar,1.43065E-05,0,0.000228826,4.67892E-05
cheeol,2.8613E-05,3.85375E-05,0,3.50919E-05
chocthy,2.8613E-05,3.85375E-05,0,3.50919E-05
chotar,0,0,0,0.000338204
chodar,0,9.28532E-05,0,0.000140918
chtal,1.43065E-05,0,0.000228826,4.67892E-05
cthy,2.8613E-05,0.000115613,0,1.16973E-05
dchey,4.29195E-05,3.85375E-05,0,2.33946E-05
dcheey,2.8613E-05,3.85375E-05,0,3.50919E-05
dsheey,6.89408E-05,0,0,0.000112735
chty,2.8613E-05,7.70751E-05,0,2.33946E-05
lal,0.000103411,0,0,8.45511E-05
lched,0.000103411,0,0,8.45511E-05
kam,0.000103411,0.00027856,0,0
keeol,1.43065E-05,7.70751E-05,0,3.50919E-05
kshedy,2.8613E-05,0,0.000457651,2.33946E-05
lar,6.89408E-05,0,0,0.000112735
eees,1.43065E-05,3.85375E-05,0,4.67892E-05
eeedy,0,0,0,0
lkeeody,0,9.28532E-05,0,0.000140918
oeedy,6.89408E-05,0,0,0.000112735
loly,0.000413645,0,0,0
ockhedy,1.43065E-05,7.70751E-05,0,3.50919E-05
lpchedy,6.89408E-05,0,0,0.000112735
lsheedy,0.000172352,0,0,2.81837E-05
olam,1.43065E-05,3.85375E-05,0,4.67892E-05
olr,0,9.28532E-05,0,0.000140918
okeal,0,0,0,0.000338204
okchd,1.43065E-05,7.70751E-05,0,3.50919E-05
olkchedy,1.43065E-05,3.85375E-05,0,4.67892E-05
okary,2.8613E-05,0.000115613,0,1.16973E-05
olsheey,4.29195E-05,3.85375E-05,0,2.33946E-05
okedar,4.29195E-05,3.85375E-05,0,2.33946E-05
oteal,0,0,0,0.000338204
oral,3.44704E-05,0,0,0.000140918
oshey,0.000103411,0,0,8.45511E-05
opaiin,3.44704E-05,0,0,0.000140918
orar,0.000103411,0,0,8.45511E-05
opor,0.000172352,0,0,2.81837E-05
qochey,6.89408E-05,0,0,0.000112735
qoar,0.000103411,0,0,8.45511E-05
