word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3,PC1,PC2,cluster
sheocthy,0.0,0.0,0.000514139,0.000873848,0.0,0.0,-0.8066539910106281,1.4346277255743283,6
tchdor,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
tchdaiin,0.0,0.000206189,0.0,0.000873848,0.0,0.0,-0.2536522242325702,2.752909570590432,2
teedal,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
ykaly,0.0,0.0,0.000514139,0.000873848,0.0,0.0,-0.8066539910106281,1.4346277255743283,6
toky,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
ytshedy,0.0,0.000206189,0.0,0.000873848,0.0,0.0,-0.2536522242325702,2.752909570590432,2
tshod,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
tshdol,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
chckhy,0.000398944,0.000923895,0.000341298,0.000870124,0.0,0.000301628,4.18440263890746,6.522408724344282,2
okar,0.000281074,0.000752804,0.000255974,0.000870124,0.0,0.000317096,3.6410550260197465,5.501810226863687,2
otain,0.000281074,0.000102655,0.0,0.000870124,0.000179143,0.000394437,4.805205376702388,1.5587767346033936,4
okain,0.000426144,0.000273747,0.000170649,0.000725103,0.0,0.00057232,6.778472949534965,2.440937547954063,4
oty,0.000235739,0.000239528,8.53e-05,0.000725103,0.0,0.000177883,2.5440697102892047,2.5859882063399118,2
olkaiin,0.000221803,0.000228295,0.0,0.000645023,0.0,0.000257997,3.116443148110713,2.28449680529253,4
olor,0.00036295,0.000152196,0.0,0.000645023,0.0,6.88e-05,2.677219621393215,2.210422693092188,2
otor,0.000161311,0.000304393,0.0,0.000645023,0.0,0.000154798,1.878723922936846,2.7694381426368424,2
yty,4.03e-05,0.000304393,0.0,0.000645023,0.0,1.72e-05,-0.019166654356193396,2.827685442622664,2
chekar,4.03e-05,0.000152196,0.0,0.000645023,0.0,1.72e-05,0.031624472284848736,1.9966156042810221,6
qokal,0.001051761,0.000136873,0.000341298,0.000580082,0.0,0.000317096,8.934219749138478,2.158790254580962,1
oteey,0.000217606,3.42e-05,0.000170649,0.000580082,0.0,0.000487245,4.6600782666398635,0.7538560426511581,4
am,0.000136004,0.000102655,0.000255974,0.000580082,0.0,0.000232022,2.0101143472152607,1.3251763402838093,5
ody,7.25e-05,0.000342183,8.53e-05,0.000580082,0.0,3.09e-05,0.1532633695834108,2.8784750143533757,2
sain,0.001137523,0.0,0.0,0.000551337,0.0,0.000793886,13.624326801260592,0.9940509175576561,1
olkeey,0.000758349,0.0,0.0,0.000551337,0.0,0.000441048,8.277284883748639,1.0848808082007535,1
qokair,3.45e-05,0.0,0.0,0.000551337,0.0,0.000294032,2.1026483924436112,0.6418062173002009,5
qotchey,0.000103411,0.0,0.0,0.000551337,0.0,0.000205822,1.907673426568795,0.8036456598889945,5
ycheol,3.45e-05,0.0,0.0,0.000551337,0.0,0.000235226,1.6522479416625258,0.7106537261976587,5
yshedy,0.000275763,0.0,0.0,0.000551337,0.0,2.94e-05,1.7585444762853595,1.1566737078857454,5
oar,6.89e-05,0.0,0.0,0.000551337,0.0,0.000176419,1.4417694207816427,0.8087387410074456,5
otaly,0.000137882,0.0,0.0,0.000551337,0.0,0.000117613,1.472497542899601,0.9362136008269055,5
okshey,0.000103411,0.0,0.0,0.000551337,0.0,0.000117613,1.2320727503971667,0.9069169232351811,5
qokan,0.000137882,0.0,0.0,0.000551337,0.0,8.82e-05,1.2472207266083373,0.9706490628410014,5
qokshey,0.000206822,0.0,0.0,0.000551337,0.0,2.94e-05,1.277701865977845,1.0980812025957603,5
tshedy,0.000103411,0.0,0.0,0.000551337,0.0,0.000117613,1.2320727503971667,0.9069169232351811,5
chekain,6.89e-05,0.0,0.0,0.000551337,0.0,0.000117613,0.9913689700005573,0.8775862499049033,5
ls,0.000103411,0.0,0.0,0.000551337,0.0,8.82e-05,1.0067959341059027,0.941352385249277,5
ykchedy,0.000103411,0.0,0.0,0.000551337,0.0,8.82e-05,1.0067959341059027,0.941352385249277,5
chtal,3.45e-05,0.0,0.0,0.000551337,0.0,0.000117613,0.751439381010283,0.8483499147491108,5
qokshy,0.0,0.0,0.000324386,0.000551337,0.0,0.000117613,0.11849271571047502,0.6976442677688464,0
ycheeo,0.0,0.0,0.0,0.000551337,0.000681063,0.000117613,0.6828071665688321,-0.6946143722949988,0
chckhal,6.89e-05,0.0,0.0,0.000551337,0.0,5.88e-05,0.540914905588967,0.9464419540981179,6
lkeol,0.0,0.0,0.000324386,0.000551337,0.0,8.82e-05,-0.10678410058078888,0.7320797297829422,6
dsheedy,3.45e-05,0.0,0.0,0.000551337,0.0,5.88e-05,0.3009853165986927,0.9172056189423254,6
fcheey,3.45e-05,0.0,0.0,0.000551337,0.0,5.88e-05,0.3009853165986927,0.9172056189423254,6
kas,6.89e-05,0.0,0.0,0.000551337,0.0,2.94e-05,0.31573765746864074,0.9808621962772367,6
kary,6.89e-05,0.0,0.0,0.000551337,0.0,2.94e-05,0.31573765746864074,0.9808621962772367,6
okody,0.0,0.000130091,0.0,0.000551337,0.0,5.88e-05,0.016944337389267625,1.5982445928672053,6
