word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PC1,PC2,cluster
pchas,0.0,0.000230807,0.0,0.0,tp,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
pdy,0.0,0.000230807,0.0,0.0,ui,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qoeear,0.0,0.000230807,0.0,0.0,er,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qal,0.0,0.000230807,0.0,0.0,mn,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
peeody,0.0,0.000230807,0.0,0.0,ud,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
por,0.0,0.000230807,0.0,0.0,uo,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
pe,0.0,0.000230807,0.0,0.0,up,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qofcham,0.0,0.000230807,0.0,0.0,ct,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qotoly,0.0,0.000230807,0.0,0.0,id,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qolkeo,0.0,0.000230807,0.0,0.0,pu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
rshdy,0.0,0.000230807,0.0,0.0,fi,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qolo,0.0,0.000230807,0.0,0.0,di,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
qopeeedy,0.0,0.000230807,0.0,0.0,ro,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
shcthedam,0.0,0.000230807,0.0,0.0,mo,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
salal,0.0,0.000230807,0.0,0.0,in,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
salaiin,0.0,0.000230807,0.0,0.0,ia,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
schod,0.0,0.000230807,0.0,0.0,li,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
shiin,0.0,0.000230807,0.0,0.0,aq,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
so,0.0,0.000230807,0.0,0.0,mi,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
shear,0.0,0.000230807,0.0,0.0,ae,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
sordaiin,0.0,0.000230807,0.0,0.0,tr,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
tee,0.0,0.000230807,0.0,0.0,ru,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
tchr,0.0,0.000230807,0.0,0.0,rc,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ychain,0.0,0.000230807,0.0,0.0,ie,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
sorain,0.0,0.000230807,0.0,0.0,te,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
tshey,0.0,0.000230807,0.0,0.0,ce,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
tshom,0.0,0.000230807,0.0,0.0,ct,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ykchod,0.0,0.000230807,0.0,0.0,li,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ykchaiin,0.0,0.000230807,0.0,0.0,la,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ychl,0.0,0.000230807,0.0,0.0,ib,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ykeeor,0.0,0.000230807,0.0,0.0,ir,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ypchod,0.0,0.000230807,0.0,0.0,li,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
ycheos,0.0,0.000230807,0.0,0.0,io,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
arey,5.77349e-05,0.000173105,0.0,0.0,te,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
daleor,5.77349e-05,0.000173105,0.0,0.0,di,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
lchod,5.77349e-05,0.000173105,0.0,0.0,ci,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
odeedy,5.77349e-05,0.000173105,0.0,0.0,tr,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
olkdy,5.77349e-05,0.000173105,0.0,0.0,ui,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
qokshor,5.77349e-05,0.000173105,0.0,0.0,po,,,,,,,,,-0.8609174154728353,-2.1497710066309663,0
dleal,0.0,0.000173105,0.0,0.000114919,qu,,,,,,,,,-1.618285968054245,-0.3296996787321128,0
peed,0.0,0.000173105,0.0,0.000114919,us,,,,,,,,,-1.618285968054245,-0.3296996787321128,0
olchear,0.0,0.000173105,0.0,5.74594e-05,ae,,,,,,,,,-1.6148649993604594,-1.0964935986476227,0
oteeedy,0.0,0.000173105,0.0,5.74594e-05,uo,,,,,,,,,-1.6148649993604594,-1.0964935986476227,0
otdair,0.0,0.000173105,0.0,5.74594e-05,uo,,,,,,,,,-1.6148649993604594,-1.0964935986476227,0
oteeal,0.0,0.000173105,0.0,5.74594e-05,um,,,,,,,,,-1.6148649993604594,-1.0964935986476227,0
qokcheey,0.0,0.000173105,0.0,5.74594e-05,lu,,,,,,,,,-1.6148649993604594,-1.0964935986476227,0
oteeo,0.0,0.000173105,0.000288564,0.0,us,,,,,,,,,-3.159956859190025,-0.7948029021176135,8
lchy,0.0,0.000173105,0.000115426,0.0,ct,,,,,,,,,-2.230851315729113,-1.435890589491989,0
keedy,0.0,0.000173105,5.77128e-05,0.0,ir,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
kcheeey,0.0,0.000173105,5.77128e-05,0.0,nc,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
odeedain,0.0,0.000173105,5.77128e-05,0.0,tu,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
old,0.0,0.000173105,5.77128e-05,0.0,en,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
rcheo,0.0,0.000173105,5.77128e-05,0.0,tu,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
sear,0.0,0.000173105,5.77128e-05,0.0,me,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
tsheey,0.0,0.000173105,5.77128e-05,0.0,cu,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
ytchy,0.0,0.000173105,5.77128e-05,0.0,st,,,,,,,,,-1.9211466058972542,-1.6495884600863981,0
ky,4.79243e-05,0.000167639,0.000119765,0.0,it,,,,,,,,,-1.5796613305380096,-1.5995520520899293,0
lcheey,0.0,0.000167639,7.18589e-05,7.15435e-05,cu,,,,,,,,,-1.949837091997392,-0.5843891411658,0
okchy,0.000215659,0.00014369,0.0,0.000166935,g,,,,,,,,,1.4591243861574195,-0.393131009384709,2
opchedy,4.79243e-05,0.00014369,0.0,7.15435e-05,ne,,,,,,,,,-0.7156687422183682,-0.8338074001815172,0
qoy,0.0,0.00014369,0.000143718,2.38478e-05,et,,,,,,,,,-2.1070523447935616,-0.7003451986955335,0
opchy,9.58487e-05,0.000119742,0.0,4.76956e-05,nt,,,,,,,,,0.13429694119126834,-1.1354092229355288,1
cheod,4.79243e-05,0.000119742,0.0,2.38478e-05,en,,,,,,,,,-0.487277961212802,-1.2158507629825854,0
otedal,0.0,0.000119742,4.7906e-05,7.15435e-05,us,,,,,,,,,-1.3701876550142222,-0.16416611608465545,5
keain,0.0,0.000119742,2.3953e-05,7.15435e-05,in,,,,,,,,,-1.241649349832695,-0.2528582193530218,5
olkody,0.0,0.000119742,7.18589e-05,2.38478e-05,um,,,,,,,,,-1.4958857675924153,-0.7119698123345481,0
qoko,0.0,0.000119742,4.7906e-05,2.38478e-05,ti,,,,,,,,,-1.3673479990380548,-0.8006615453273613,0
opchedam,0.000288675,0.000115403,0.0,0.0,no,,,,,,,,,2.6846543790867203,-2.6826233631823007,9
cthedam,0.00011547,0.000115403,0.0,0.0,lo,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
cthey,0.00011547,0.000115403,0.0,0.0,le,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
kchar,0.00011547,0.000115403,0.0,0.0,ns,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
reed,0.00011547,0.000115403,0.0,0.0,os,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
rchaly,0.00011547,0.000115403,0.0,0.0,ta,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
shckheody,0.00011547,0.000115403,0.0,0.0,fi,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
tedar,0.00011547,0.000115403,0.0,0.0,rp,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
yteedy,0.00011547,0.000115403,0.0,0.0,ar,,,,,,,,,0.43307059792371605,-1.8231634033961734,0
cheeod,5.77349e-05,0.000115403,0.0,0.0,ep,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
chckhedy,5.77349e-05,0.000115403,0.0,0.0,ae,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
ckhal,5.77349e-05,0.000115403,0.0,0.0,un,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
ctheo,5.77349e-05,0.000115403,0.0,0.0,lu,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
cthee,5.77349e-05,0.000115403,0.0,0.0,lu,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
lkchedar,5.77349e-05,0.000115403,0.0,0.0,op,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
odyesy,5.77349e-05,0.000115403,0.0,0.0,oc,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
opchar,5.77349e-05,0.000115403,0.0,0.0,ns,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
olary,5.77349e-05,0.000115403,0.0,0.0,et,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
pchair,5.77349e-05,0.000115403,0.0,0.0,ta,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
otsheor,5.77349e-05,0.000115403,0.0,0.0,di,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
opcheody,5.77349e-05,0.000115403,0.0,0.0,ni,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
qokary,5.77349e-05,0.000115403,0.0,0.0,tt,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
qoksheey,5.77349e-05,0.000115403,0.0,0.0,pu,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
qotoiin,5.77349e-05,0.000115403,0.0,0.0,in,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
qolkeeor,5.77349e-05,0.000115403,0.0,0.0,pr,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
saleedy,5.77349e-05,0.000115403,0.0,0.0,ir,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
salr,5.77349e-05,0.000115403,0.0,0.0,ic,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
saleal,5.77349e-05,0.000115403,0.0,0.0,iu,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
ychdaiin,5.77349e-05,0.000115403,0.0,0.0,ir,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
solkedy,5.77349e-05,0.000115403,0.0,0.0,oe,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
solkeeey,5.77349e-05,0.000115403,0.0,0.0,oc,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
sydy,5.77349e-05,0.000115403,0.0,0.0,gi,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
ychoiin,5.77349e-05,0.000115403,0.0,0.0,in,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
ytiin,5.77349e-05,0.000115403,0.0,0.0,aq,,,,,,,,,-0.31745862908372674,-1.5366762539244607,0
tear,0.0,0.000115403,0.0,0.000287297,re,,,,,,,,,-1.085090040116942,2.5837661577827684,3
okcham,0.0,0.000115403,0.0,0.000172378,nt,,,,,,,,,-1.0782481146367586,1.0501809869362873,5
opoiin,0.0,0.000115403,0.0,0.000172378,un,,,,,,,,,-1.0782481146367586,1.0501809869362873,5
otdaiin,0.0,0.000115403,0.0,0.000172378,ur,,,,,,,,,-1.0782481146367586,1.0501809869362873,5
aiiredaiin,0.0,0.000115403,0.0,0.000114919,nt,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
chch,0.0,0.000115403,0.0,0.000114919,ex,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
daryeo,0.0,0.000115403,0.0,0.000114919,qu,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
lcham,0.0,0.000115403,0.0,0.000114919,ct,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
keedar,0.0,0.000115403,0.0,0.000114919,im,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
dshody,0.0,0.000115403,0.0,0.000114919,em,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
keod,0.0,0.000115403,0.0,0.000114919,in,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
lked,0.0,0.000115403,0.0,0.000114919,sa,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
opdy,0.0,0.000115403,0.0,0.000114919,ui,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
tshod,0.0,0.000115403,0.0,0.000114919,ci,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
tshedy,0.0,0.000115403,0.0,0.000114919,ce,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
soreey,0.0,0.000115403,0.0,0.000114919,tu,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
ykoiin,0.0,0.000115403,0.0,0.000114919,in,,,,,,,,,-1.0748271816651362,0.28339507397439256,5
chcthedy,0.0,0.000115403,0.0,5.74594e-05,se,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
chckhedaiin,0.0,0.000115403,0.0,5.74594e-05,at,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
cthain,0.0,0.000115403,0.0,5.74594e-05,le,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
ckhedain,0.0,0.000115403,0.0,5.74594e-05,um,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
kaly,0.0,0.000115403,0.0,5.74594e-05,ia,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
fcho,0.0,0.000115403,0.0,5.74594e-05,ui,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
kg,0.0,0.000115403,0.0,5.74594e-05,ig,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
fchs,0.0,0.000115403,0.0,5.74594e-05,ur,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
fchedol,0.0,0.000115403,0.0,5.74594e-05,ul,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
lkcheees,0.0,0.000115403,0.0,5.74594e-05,on,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
lshos,0.0,0.000115403,0.0,5.74594e-05,es,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
lkan,0.0,0.000115403,0.0,5.74594e-05,ss,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
leeey,0.0,0.000115403,0.0,5.74594e-05,mc,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
lshody,0.0,0.000115403,0.0,5.74594e-05,em,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
okiin,0.0,0.000115403,0.0,5.74594e-05,eq,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
