word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,,,,,,,,
saleedy,5.77349E-05,0.000115403,0,0,ir,,,,,,,,
salr,5.77349E-05,0.000115403,0,0,ic,,,,,,,,
saleal,5.77349E-05,0.000115403,0,0,iu,,,,,,,,
ychdaiin,5.77349E-05,0.000115403,0,0,ir,,,,,,,,
solkedy,5.77349E-05,0.000115403,0,0,oe,,,,,,,,
solkeeey,5.77349E-05,0.000115403,0,0,oc,,,,,,,,
sydy,5.77349E-05,0.000115403,0,0,gi,,,,,,,,
ychoiin,5.77349E-05,0.000115403,0,0,in,,,,,,,,
ytiin,5.77349E-05,0.000115403,0,0,aq,,,,,,,,
tear,0,0.000115403,0,0.000287297,re,,,,,,,,
okcham,0,0.000115403,0,0.000172378,nt,,,,,,,,
opoiin,0,0.000115403,0,0.000172378,un,,,,,,,,
otdaiin,0,0.000115403,0,0.000172378,ur,,,,,,,,
aiiredaiin,0,0.000115403,0,0.000114919,nt,,,,,,,,
chch,0,0.000115403,0,0.000114919,ex,,,,,,,,
daryeo,0,0.000115403,0,0.000114919,qu,,,,,,,,
lcham,0,0.000115403,0,0.000114919,ct,,,,,,,,
keedar,0,0.000115403,0,0.000114919,im,,,,,,,,
dshody,0,0.000115403,0,0.000114919,em,,,,,,,,
keod,0,0.000115403,0,0.000114919,in,,,,,,,,
lked,0,0.000115403,0,0.000114919,sa,,,,,,,,
opdy,0,0.000115403,0,0.000114919,ui,,,,,,,,
tshod,0,0.000115403,0,0.000114919,ci,,,,,,,,
tshedy,0,0.000115403,0,0.000114919,ce,,,,,,,,
soreey,0,0.000115403,0,0.000114919,tu,,,,,,,,
ykoiin,0,0.000115403,0,0.000114919,in,,,,,,,,
chcthedy,0,0.000115403,0,5.74594E-05,se,,,,,,,,
chckhedaiin,0,0.000115403,0,5.74594E-05,at,,,,,,,,
cthain,0,0.000115403,0,5.74594E-05,le,,,,,,,,
ckhedain,0,0.000115403,0,5.74594E-05,um,,,,,,,,
kaly,0,0.000115403,0,5.74594E-05,ia,,,,,,,,
fcho,0,0.000115403,0,5.74594E-05,ui,,,,,,,,
kg,0,0.000115403,0,5.74594E-05,ig,,,,,,,,
fchs,0,0.000115403,0,5.74594E-05,ur,,,,,,,,
fchedol,0,0.000115403,0,5.74594E-05,ul,,,,,,,,
lkcheees,0,0.000115403,0,5.74594E-05,on,,,,,,,,
lshos,0,0.000115403,0,5.74594E-05,es,,,,,,,,
lkan,0,0.000115403,0,5.74594E-05,ss,,,,,,,,
leeey,0,0.000115403,0,5.74594E-05,mc,,,,,,,,
lshody,0,0.000115403,0,5.74594E-05,em,,,,,,,,
okiin,0,0.000115403,0,5.74594E-05,eq,,,,,,,,
ocheey,0,0.000115403,0,5.74594E-05,cu,,,,,,,,
olkedal,0,0.000115403,0,5.74594E-05,us,,,,,,,,
oteos,0,0.000115403,0,5.74594E-05,uo,,,,,,,,
qofchaiin,0,0.000115403,0,5.74594E-05,ca,,,,,,,,
qokeedal,0,0.000115403,0,5.74594E-05,th,,,,,,,,
reeos,0,0.000115403,0,5.74594E-05,od,,,,,,,,
qoteeo,0,0.000115403,0,5.74594E-05,is,,,,,,,,
sheoy,0,0.000115403,0,5.74594E-05,ab,,,,,,,,
saleod,0,0.000115403,0,5.74594E-05,in,,,,,,,,
shckhdy,0,0.000115403,0,5.74594E-05,fi,,,,,,,,
tcheedain,0,0.000115403,0,5.74594E-05,ru,,,,,,,,
yshol,0,0.000115403,0,5.74594E-05,re,,,,,,,,
ykom,0,0.000115403,0,5.74594E-05,it,,,,,,,,
ykdaiin,0,0.000115403,0,5.74594E-05,ir,,,,,,,,
ytched,0,0.000115403,0,5.74594E-05,sa,,,,,,,,
lsheeor,0,0.000115403,0.000173138,0,er,,,,,,,,
oredy,0,0.000115403,0.000173138,0,se,,,,,,,,
teey,0,0.000115403,0.000173138,0,ru,,,,,,,,
chedaiin,0,0.000115403,0.000115426,0,et,,,,,,,,
lal,0,0.000115403,0.000115426,0,mn,,,,,,,,
odys,0,0.000115403,0.000115426,0,or,,,,,,,,
opchair,0,0.000115403,0.000115426,0,na,,,,,,,,
pcheeody,0,0.000115403,0.000115426,0,td,,,,,,,,
tcho,0,0.000115403,0.000115426,0,ri,,,,,,,,
ysho,0,0.000115403,0.000115426,0,ri,,,,,,,,
aiirees,0,0.000115403,5.77128E-05,0,nt,,,,,,,,
kaiiin,0,0.000115403,5.77128E-05,0,ic,,,,,,,,
laim,0,0.000115403,5.77128E-05,0,mo,,,,,,,,
loly,0,0.000115403,5.77128E-05,0,md,,,,,,,,
lshary,0,0.000115403,5.77128E-05,0,et,,,,,,,,
ofcheol,0,0.000115403,5.77128E-05,0,pa,,,,,,,,
oiiinee,0,0.000115403,5.77128E-05,0,qu,,,,,,,,
odeody,0,0.000115403,5.77128E-05,0,ti,,,,,,,,
odeo,0,0.000115403,5.77128E-05,0,tu,,,,,,,,
olchedy,0,0.000115403,5.77128E-05,0,ae,,,,,,,,
olks,0,0.000115403,5.77128E-05,0,ur,,,,,,,,
olkdor,0,0.000115403,5.77128E-05,0,um,,,,,,,,
opeeor,0,0.000115403,5.77128E-05,0,ur,,,,,,,,
oredar,0,0.000115403,5.77128E-05,0,sp,,,,,,,,
otedar,0,0.000115403,5.77128E-05,0,up,,,,,,,,
opchm,0,0.000115403,5.77128E-05,0,ni,,,,,,,,
opor,0,0.000115403,5.77128E-05,0,uo,,,,,,,,
qofcheor,0,0.000115403,5.77128E-05,0,ci,,,,,,,,
qoedaiin,0,0.000115403,5.77128E-05,0,et,,,,,,,,
sol,0,0.000115403,5.77128E-05,0,me,,,,,,,,
ychedy,0,0.000115403,5.77128E-05,0,ie,,,,,,,,
teeod,0,0.000115403,5.77128E-05,0,rp,,,,,,,,
yshor,0,0.000115403,5.77128E-05,0,ro,,,,,,,,
chctheeod,0,0.000115403,0,0,sp,,,,,,,,
arols,0,0.000115403,0,0,tq,,,,,,,,
chckhesy,0,0.000115403,0,0,ac,,,,,,,,
aiiined,0,0.000115403,0,0,ma,,,,,,,,
arydy,0,0.000115403,0,0,bi,,,,,,,,
aiiindaiiin,0,0.000115403,0,0,mf,,,,,,,,
aredaiiin,0,0.000115403,0,0,tq,,,,,,,,
aiiineeedy,0,0.000115403,0,0,mo,,,,,,,,
chcphey,0,0.000115403,0,0,pe,,,,,,,,
chctheed,0,0.000115403,0,0,ss,,,,,,,,
aiiinaim,0,0.000115403,0,0,mo,,,,,,,,
aiireey,0,0.000115403,0,0,nu,,,,,,,,
arair,0,0.000115403,0,0,ta,,,,,,,,
aiiiny,0,0.000115403,0,0,mt,,,,,,,,
chcthols,0,0.000115403,0,0,sq,,,,,,,,
chcpheeedy,0,0.000115403,0,0,po,,,,,,,,
alyor,0,0.000115403,0,0,ho,,,,,,,,
aiiineedy,0,0.000115403,0,0,mr,,,,,,,,
aiiineear,0,0.000115403,0,0,mr,,,,,,,,
chcpheedal,0,0.000115403,0,0,ph,,,,,,,,
aiiinam,0,0.000115403,0,0,mt,,,,,,,,
aldaly,0,0.000115403,0,0,al,,,,,,,,
alyair,0,0.000115403,0,0,ha,,,,,,,,
chckhdol,0,0.000115403,0,0,ad,,,,,,,,
chedam,0,0.000115403,0,0,eo,,,,,,,,
aloy,0,0.000115403,0,0,ab,,,,,,,,
chckhdaly,0,0.000115403,0,0,al,,,,,,,,
aliin,0,0.000115403,0,0,aq,,,,,,,,
chcphee,0,0.000115403,0,0,pu,,,,,,,,
aiiinr,0,0.000115403,0,0,mc,,,,,,,,
aiiinor,0,0.000115403,0,0,mo,,,,,,,,
aiiiniir,0,0.000115403,0,0,mg,,,,,,,,
aryam,0,0.000115403,0,0,bt,,,,,,,,
aiiiney,0,0.000115403,0,0,me,,,,,,,,
aleeeody,0,0.000115403,0,0,ad,,,,,,,,
chcthail,0,0.000115403,0,0,sc,,,,,,,,
chcthaiir,0,0.000115403,0,0,sc,,,,,,,,
chckhail,0,0.000115403,0,0,ac,,,,,,,,
chcphedar,0,0.000115403,0,0,pp,,,,,,,,
aiiineeaiin,0,0.000115403,0,0,mz,,,,,,,,
chcfhdair,0,0.000115403,0,0,zo,,,,,,,,
aiiindar,0,0.000115403,0,0,me,,,,,,,,
chcphedam,0,0.000115403,0,0,po,,,,,,,,
aldar,0,0.000115403,0,0,ae,,,,,,,,
chctheeody,0,0.000115403,0,0,sd,,,,,,,,
dky,0,0.000115403,0,0,xt,,,,,,,,
dshain,0,0.000115403,0,0,ee,,,,,,,,
dkey,0,0.000115403,0,0,xe,,,,,,,,
daleear,0,0.000115403,0,0,dr,,,,,,,,
dsheal,0,0.000115403,0,0,eu,,,,,,,,
dchees,0,0.000115403,0,0,pt,,,,,,,,
daledal,0,0.000115403,0,0,ds,,,,,,,,
cpheeol,0,0.000115403,0,0,gu,,,,,,,,
daredam,0,0.000115403,0,0,do,,,,,,,,
dcheer,0,0.000115403,0,0,ph,,,,,,,,
ckhos,0,0.000115403,0,0,us,,,,,,,,
ckheor,0,0.000115403,0,0,ui,,,,,,,,
dshdor,0,0.000115403,0,0,em,,,,,,,,
dairdy,0,0.000115403,0,0,fi,,,,,,,,
dareesy,0,0.000115403,0,0,dl,,,,,,,,
cheo,0,0.000115403,0,0,eu,,,,,,,,
cpheal,0,0.000115403,0,0,gu,,,,,,,,
cphdam,0,0.000115403,0,0,gr,,,,,,,,
ckhm,0,0.000115403,0,0,ui,,,,,,,,
ckheody,0,0.000115403,0,0,ui,,,,,,,,
ckhaiin,0,0.000115403,0,0,ua,,,,,,,,
cthr,0,0.000115403,0,0,lc,,,,,,,,
dchedar,0,0.000115403,0,0,pp,,,,,,,,
deedaiin,0,0.000115403,0,0,ml,,,,,,,,
cpheer,0,0.000115403,0,0,gh,,,,,,,,
ckheeedy,0,0.000115403,0,0,uo,,,,,,,,
ctheedain,0,0.000115403,0,0,lu,,,,,,,,
ckheeal,0,0.000115403,0,0,um,,,,,,,,
dchais,0,0.000115403,0,0,pp,,,,,,,,
dedain,0,0.000115403,0,0,mm,,,,,,,,
doredam,0,0.000115403,0,0,bo,,,,,,,,
ckhdor,0,0.000115403,0,0,um,,,,,,,,
dchaim,0,0.000115403,0,0,po,,,,,,,,
dalyod,0,0.000115403,0,0,vi,,,,,,,,
dorain,0,0.000115403,0,0,be,,,,,,,,
doeeod,0,0.000115403,0,0,xp,,,,,,,,
dshan,0,0.000115403,0,0,es,,,,,,,,
ddol,0,0.000115403,0,0,md,,,,,,,,
ddair,0,0.000115403,0,0,mo,,,,,,,,
ddaiin,0,0.000115403,0,0,mr,,,,,,,,
dchy,0,0.000115403,0,0,pt,,,,,,,,
darm,0,0.000115403,0,0,di,,,,,,,,
fchal,0,0.000115403,0,0,un,,,,,,,,
esee,0,0.000115403,0,0,qu,,,,,,,,
ksho,0,0.000115403,0,0,si,,,,,,,,
ksheod,0,0.000115403,0,0,sn,,,,,,,,
lchdaly,0,0.000115403,0,0,cl,,,,,,,,
kcheeeody,0,0.000115403,0,0,nd,,,,,,,,
keam,0,0.000115403,0,0,if,,,,,,,,
dyteody,0,0.000115403,0,0,gi,,,,,,,,
lary,0,0.000115403,0,0,mt,,,,,,,,
lchdal,0,0.000115403,0,0,ca,,,,,,,,
kery,0,0.000115403,0,0,ix,,,,,,,,
fchedy,0,0.000115403,0,0,ue,,,,,,,,
kchedaiiin,0,0.000115403,0,0,nq,,,,,,,,
ksheeeody,0,0.000115403,0,0,sd,,,,,,,,
kcheal,0,0.000115403,0,0,nu,,,,,,,,
kcheaiin,0,0.000115403,0,0,nh,,,,,,,,
keeor,0,0.000115403,0,0,ir,,,,,,,,
dytal,0,0.000115403,0,0,gn,,,,,,,,
kshor,0,0.000115403,0,0,so,,,,,,,,
kdal,0,0.000115403,0,0,ia,,,,,,,,
kshedar,0,0.000115403,0,0,sp,,,,,,,,
lchaiir,0,0.000115403,0,0,cc,,,,,,,,
kshiiin,0,0.000115403,0,0,sf,,,,,,,,
dshees,0,0.000115403,0,0,et,,,,,,,,
lcheeor,0,0.000115403,0,0,cr,,,,,,,,
dsheedo,0,0.000115403,0,0,ex,,,,,,,,
keel,0,0.000115403,0,0,if,,,,,,,,
lail,0,0.000115403,0,0,mc,,,,,,,,
keeeos,0,0.000115403,0,0,ix,,,,,,,,
kshdor,0,0.000115403,0,0,sm,,,,,,,,
fchd,0,0.000115403,0,0,un,,,,,,,,
fchar,0,0.000115403,0,0,us,,,,,,,,
kais,0,0.000115403,0,0,ip,,,,,,,,
lcheear,0,0.000115403,0,0,cr,,,,,,,,
keedain,0,0.000115403,0,0,iu,,,,,,,,
lchdaiin,0,0.000115403,0,0,cr,,,,,,,,
fy,0,0.000115403,0,0,xt,,,,,,,,
dytee,0,0.000115403,0,0,gu,,,,,,,,
dytd,0,0.000115403,0,0,gn,,,,,,,,
kshos,0,0.000115403,0,0,ss,,,,,,,,
fchos,0,0.000115403,0,0,us,,,,,,,,
ldaiiin,0,0.000115403,0,0,mf,,,,,,,,
dshiin,0,0.000115403,0,0,eq,,,,,,,,
fches,0,0.000115403,0,0,ul,,,,,,,,
dsheor,0,0.000115403,0,0,ei,,,,,,,,
fcheody,0,0.000115403,0,0,ui,,,,,,,,
dsheoly,0,0.000115403,0,0,ep,,,,,,,,
fcheeey,0,0.000115403,0,0,uc,,,,,,,,
kchod,0,0.000115403,0,0,ni,,,,,,,,
lchees,0,0.000115403,0,0,ct,,,,,,,,
lcheed,0,0.000115403,0,0,cs,,,,,,,,
fcheed,0,0.000115403,0,0,us,,,,,,,,
lta,0,0.000115403,0,0,od,,,,,,,,
lpchees,0,0.000115403,0,0,xt,,,,,,,,
lkchar,0,0.000115403,0,0,os,,,,,,,,
lpchedar,0,0.000115403,0,0,xp,,,,,,,,
lsaiiin,0,0.000115403,0,0,ac,,,,,,,,
leod,0,0.000115403,0,0,mn,,,,,,,,
loiiin,0,0.000115403,0,0,mq,,,,,,,,
lssaiin,0,0.000115403,0,0,ag,,,,,,,,
lkols,0,0.000115403,0,0,sq,,,,,,,,
lteedam,0,0.000115403,0,0,oh,,,,,,,,
lkaim,0,0.000115403,0,0,so,,,,,,,,
lsheain,0,0.000115403,0,0,en,,,,,,,,
liin,0,0.000115403,0,0,mq,,,,,,,,
lkiir,0,0.000115403,0,0,sg,,,,,,,,
ltary,0,0.000115403,0,0,ot,,,,,,,,
leeody,0,0.000115403,0,0,md,,,,,,,,
lkes,0,0.000115403,0,0,sl,,,,,,,,
leaiin,0,0.000115403,0,0,mh,,,,,,,,
lseesy,0,0.000115403,0,0,al,,,,,,,,
lshdain,0,0.000115403,0,0,em,,,,,,,,
lshdaiin,0,0.000115403,0,0,er,,,,,,,,
ltdol,0,0.000115403,0,0,od,,,,,,,,
lkcheeod,0,0.000115403,0,0,op,,,,,,,,
lseeeos,0,0.000115403,0,0,ax,,,,,,,,
lshols,0,0.000115403,0,0,eq,,,,,,,,
lkchdar,0,0.000115403,0,0,oe,,,,,,,,
lkeedaiin,0,0.000115403,0,0,sl,,,,,,,,
lshs,0,0.000115403,0,0,er,,,,,,,,
lteesy,0,0.000115403,0,0,ol,,,,,,,,
lkedol,0,0.000115403,0,0,sl,,,,,,,,
lshiin,0,0.000115403,0,0,eq,,,,,,,,
lsedam,0,0.000115403,0,0,ao,,,,,,,,
lkedain,0,0.000115403,0,0,sm,,,,,,,,
ltan,0,0.000115403,0,0,os,,,,,,,,
lsesy,0,0.000115403,0,0,ac,,,,,,,,
liiin,0,0.000115403,0,0,mf,,,,,,,,
lsealy,0,0.000115403,0,0,aq,,,,,,,,
lkeaiin,0,0.000115403,0,0,sh,,,,,,,,
leoly,0,0.000115403,0,0,mp,,,,,,,,
lsdar,0,0.000115403,0,0,ae,,,,,,,,
lkdo,0,0.000115403,0,0,sf,,,,,,,,
lseols,0,0.000115403,0,0,ag,,,,,,,,
leees,0,0.000115403,0,0,mn,,,,,,,,
lkdaiiin,0,0.000115403,0,0,sf,,,,,,,,
lkchy,0,0.000115403,0,0,ot,,,,,,,,
ltealy,0,0.000115403,0,0,oq,,,,,,,,
lsheel,0,0.000115403,0,0,ef,,,,,,,,
lyeo,0,0.000115403,0,0,fu,,,,,,,,
odee,0,0.000115403,0,0,tu,,,,,,,,
ofchaiin,0,0.000115403,0,0,pa,,,,,,,,
oiinee,0,0.000115403,0,0,hu,,,,,,,,
octhm,0,0.000115403,0,0,bi,,,,,,,,
okeeeody,0,0.000115403,0,0,ed,,,,,,,,
oksha,0,0.000115403,0,0,od,,,,,,,,
oeey,0,0.000115403,0,0,du,,,,,,,,
oees,0,0.000115403,0,0,dt,,,,,,,,
okshdam,0,0.000115403,0,0,or,,,,,,,,
ockho,0,0.000115403,0,0,li,,,,,,,,
oedol,0,0.000115403,0,0,dl,,,,,,,,
oedar,0,0.000115403,0,0,dp,,,,,,,,
oedain,0,0.000115403,0,0,dm,,,,,,,,
oedaiiin,0,0.000115403,0,0,dq,,,,,,,,
oear,0,0.000115403,0,0,de,,,,,,,,
ochain,0,0.000115403,0,0,ce,,,,,,,,
odedam,0,0.000115403,0,0,to,,,,,,,,
odaiir,0,0.000115403,0,0,tc,,,,,,,,
odyoly,0,0.000115403,0,0,od,,,,,,,,
odyol,0,0.000115403,0,0,oe,,,,,,,,
okols,0,0.000115403,0,0,eq,,,,,,,,
okshdaiin,0,0.000115403,0,0,or,,,,,,,,
okchok,0,0.000115403,0,0,ng,,,,,,,,
okcheal,0,0.000115403,0,0,nu,,,,,,,,
odyees,0,0.000115403,0,0,ot,,,,,,,,
odyeeody,0,0.000115403,0,0,od,,,,,,,,
ofcheear,0,0.000115403,0,0,pr,,,,,,,,
odyeeo,0,0.000115403,0,0,os,,,,,,,,
ofchas,0,0.000115403,0,0,pp,,,,,,,,
okoiiin,0,0.000115403,0,0,eq,,,,,,,,
