word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
dol,0.000326408,0.0000342,0.000426623,0.000145021,0,0.0000619
oly,0.000281074,0.000102655,0.000255974,0.000145021,0,0.0000541
tedy,0.000208539,0.00020531,0.000341298,0.000145021,0,0.0000619
otam,0.0000907,0.00020531,0.000255974,0.000145021,0,0.000131479
shy,0.000136004,0.000307965,0.0000853,0.000145021,0,0.0000619
sheody,0.0000453,0.0000684,0.000597272,0.000145021,0,0.000116011
chedar,0.0000453,0.0000342,0,0.000145021,0.000537429,0.000139213
sheky,0.00014507,0.000136873,0.0000853,0.000145021,0,0.0000464
ykeedy,0.000108803,0.000136873,0.000255974,0.000145021,0,0.0000619
shcthy,0.00011787,0.0000342,0.000170649,0.000145021,0,0.0000696
ykedy,0.0000725,0.000239528,0.000341298,0.000145021,0,0.0000232
ched,0.0000635,0.0000342,0.0000853,0.000145021,0,0.0000851
kchdy,0.0000453,0.000342183,0.000170649,0.000145021,0,0.00000773
okam,0.00000907,0.000273747,0.000170649,0.000145021,0,0.0000541
okchdy,0.0000725,0.000102655,0.000170649,0.000145021,0,0.0000309
ycheey,0.0000181,0.0000342,0,0.000145021,0.000179143,0.000100543
chky,0.00000907,0.00020531,0.0000853,0.000145021,0,0.0000387
odain,0.0000181,0.000102655,0.0000853,0.000145021,0,0.0000541
qotchy,0.0000363,0,0.0000853,0.000145021,0.000358286,0.0000309
chkain,0.0000272,0.0000342,0,0.000145021,0.000179143,0.0000387
ky,0.0000363,0.0000342,0.0000853,0.000145021,0,0.0000309
pchedar,0.0000453,0.0000684,0.0000853,0.000145021,0,0.0000155
ykal,0.0000453,0.000102655,0.0000853,0.000145021,0,0.00000773
tor,0.0000453,0.0000684,0.0000853,0.000145021,0,0.0000155
chaiin,0.00000907,0.0000342,0,0.000145021,0.000179143,0.0000464
dshey,0.0000363,0.0000342,0.0000853,0.000145021,0,0.0000232
kol,0.0000181,0.0000342,0.0000853,0.000145021,0,0.0000309
ytchdy,0.0000181,0.000102655,0.000170649,0.000145021,0,0.00000773
shedar,0.00000907,0,0.0000853,0.000145021,0.000179143,0.0000232
ofchdy,0.00000907,0.0000342,0.0000853,0.000145021,0,0.00000773
chedy,0,0,0,0,0,0
ol,0,0,0,0,0,0
shedy,0,0,0,0,0,0
aiin,0,0,0,0,0,0
daiin,0,0,0,0,0,0
qokeedy,0,0,0,0,0,0
qokain,0,0,0,0,0,0
qokedy,0,0,0,0,0,0
qokeey,0,0,0,0,0,0
ar,0,0,0,0,0,0
chey,0,0,0,0,0,0
or,0,0,0,0,0,0
shey,0,0,0,0,0,0
dar,0,0,0,0,0,0
al,0,0,0,0,0,0
okaiin,0,0,0,0,0,0
otedy,0,0,0,0,0,0
qol,0.002339011,0.0000761,0,0,0.001593586,0.000412795
qokar,0,0,0,0,0,0
chdy,0,0,0,0,0,0
dal,0,0,0,0,0,0
okeey,0.000172271,0.000171092,0.000255974,0,0.000179143,0.000734735
dain,0,0,0,0,0,0
otar,0,0,0,0,0,0
qoky,0,0,0,0,0,0
dy,0,0,0,0,0,0
sheey,0.000408011,0.000171092,0.000170649,0,0.000358286,0.000363501
chol,0,0,0,0,0,0
oteedy,0,0,0,0,0,0
cheol,0.000290141,0.00020531,0.0000853,0,0.000716572,0.000371235
qotedy,0.001028358,0.00083708,0.000379507,0,0,0.000464394
qokey,0.000887211,0.000152196,0.000379507,0,0,0.000687991
sheedy,0.000426144,0.000171092,0.000255974,0,0.000179143,0.000201085
qoteedy,0.000806556,0.000152196,0,0,0.000796793,0.000498793
sheol,0.000308275,0.000136873,0.000341298,0,0.000358286,0.000193351
y,0,0,0,0,0,0
qotain,0.000930701,0,0,0,0.001362127,0.000970306
qotar,0,0,0,0,0,0
qoty,0,0,0,0,0,0
qokol,0,0,0,0,0,0
cheedy,0,0,0,0,0,0
shckhy,0.000625081,0.000152196,0.000189754,0,0,0.000343995
