text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Enciphered - Tswana_affix,4.39359091,2.90695992,0.89233108,5.644409382,2.875827761,0.463279545,-0.233914623,1.542343869,1.350313882,3.054793262,1.150964477,1.027753054,2.449004534,14.34,2.5948,1.462651963,0.691298644,-0.085676299,1.541728312,0.640774815,-0.159532319,0.157592293,0.041769172,140.19,3.93530293,0.49618009,0.234618048,3.633096047,0.748631323,0.309358619,1.594106415,107.09,0.017400026,9.90E-05,22.91,0.0107844,6.62E-05,428.94,1.64412168,0.445998331,4.071447845,0.096221638
Enciphered - Tswana_Alf,6.176317455,2.880322597,0.834385685,7.418993309,2.855687319,0.419081545,-0.235961154,1.065678941,0.666429425,2.425898472,1.056089239,0.688066441,2.074107299,14.82,2.602,1.461432847,0.689826576,-0.082948665,1.538095339,0.650892193,-0.173650513,0.130338766,0.038332465,162.55,5.565116245,0.515179257,0.205879873,3.663060989,1.0629502,0.330024381,0.441455682,105.71,0.017883944,0.000195844,25.09,0.00846582,2.33E-05,488.08,1.303044654,0.367013727,4.669836537,0.096990438
Enciphered - Tswana_Alfb,6.366268718,2.879076777,0.882785241,7.640539031,2.863622494,0.435682696,-0.231649817,0.970021064,0.552568268,2.15275381,1.017441464,0.616129399,1.957664295,14.54,2.5412,1.484692814,0.68739609,-0.120930163,1.550320133,0.655897835,-0.221997472,0.155760361,0.037554254,200.36,5.723199467,0.523146223,0.209294584,3.456342733,1.085505972,0.33349772,0.562462208,108.27,0.016918373,0.000296793,25.72,0.007586453,0.000124271,493.2,1.286857057,0.362964491,3.739239183,0.092343276
Enciphered - Tswana_bigraph1,6.155902472,3.965255343,0.895894521,7.880675497,4.003556379,0.464187751,-0.21024619,1.477417461,1.529001518,4.198859086,1.125823453,1.156504302,3.269644424,15.31,2.6964,1.452812975,0.684807004,-0.063102615,1.495769296,0.666309414,-0.15577419,0.195857624,0.068909118,244.33,8.357003313,0.374078659,0.166426583,3.653977093,0.576136772,0.182103742,1.493332014,104.64,0.015801491,0.000195853,13.9,0.079217591,0.003829387,340.26,1.672312407,0.364411622,4.453760666,0.096198074
Enciphered - Tswana_bigraph2,6.916258598,4.554613055,0.916560064,8.897428188,4.501226846,0.497952501,-0.247266796,1.290323391,1.210809984,3.001918725,1.191474804,1.048453173,2.107423793,14.86,2.712,1.4550029,0.702660121,-0.08780285,1.53466816,0.657454886,-0.167864565,0.401567047,0.054677396,561.17,11.85702851,0.362910535,0.250022906,2.314829935,0.551449354,0.290976898,2.171564227,105.66,0.019413656,0.000198285,17.85,0.121713729,0.015422464,281.26,1.731692001,0.343131708,3.801645314,0.098526861
Enciphered - Tswana_bigraph3,6.294375649,4.139289342,0.910836133,8.128947591,4.107762179,0.520924229,-0.211925113,1.313943075,1.408374696,3.956964055,1.208718085,1.270533494,2.973511394,15.18,2.6956,1.46304741,0.690014804,-0.119205947,1.52984708,0.646534839,-0.214971311,0.498019582,0.056151554,633.42,12.40327982,0.37026652,0.238241072,2.206848536,0.572285736,0.293822554,2.001448992,106.54,0.015636463,0.000297544,17.09,0.173146263,0.024198231,243.87,1.741933004,0.344486071,4.33527856,0.093521217
Enciphered - Tswana_conflc,4.401483737,2.876476378,0.885806469,5.875619998,2.819502843,0.395878613,-0.258367844,1.414234935,1.351097835,3.241139871,1.207290645,1.106500912,2.405507418,17.5,2.9744,1.403908721,0.70896431,0.014519425,1.466856811,0.678766531,-0.089534154,0.27057387,0.062184441,244.16,6.982225202,0.405287458,0.226846866,4.482154215,0.660538389,0.24894887,2.657591083,101.45,0.0202054,0.000586826,15.7,0.059792378,0.003899866,266.99,1.791132053,0.400051885,3.682810637,0.115338387
Enciphered - Tswana_Crema,4.35726753,2.863326539,0.885244945,5.044040571,2.880014801,0.594279303,-0.234748834,1.690435296,1.468164766,2.868008328,1.10393885,0.949862828,2.366250715,6.14,1.1548,1.893942754,0.520850181,-1.159817017,1.923491287,0.48740518,-1.247092317,0.07733952,0.02651488,68.97,1.86441116,0.608449057,0.268188759,3.513547889,0.823298427,0.316170152,1.286892779,158.32,0.004348364,9.93E-05,36.01,0.007670179,0,729.21,1.660206527,0.59861858,11.52552085,0.020732262
Enciphered - Tswana_mCClass,4.361874339,2.786480809,0.865544877,5.712778466,2.736191419,0.413656243,-0.227771333,1.380215517,1.266589075,3.297011179,1.178533004,1.059493802,2.445714378,18.48,2.8992,1.419831409,0.71072712,-0.118324356,1.484915687,0.674746971,-0.200605354,0.229472228,0.078835243,204.22,7.108397685,0.383866321,0.160436483,4.473073078,0.654237294,0.19762401,2.857311675,103.88,0.02099667,0.000245849,11.98,9.53E-05,0,256.81,1.817953842,0.396491291,3.414156671,0.112001845
Enciphered - Tswana_mvCClass,4.258364893,2.74567929,0.874004301,5.740831359,2.64589038,0.359448929,-0.231617801,1.244249092,1.189520846,3.400327288,1.225376777,1.165707014,2.49458706,26.35,3.3288,1.327975138,0.739030849,0.091914864,1.407174082,0.693564071,0.030060229,0.276913217,0.099851791,239.47,12.95167452,0.333531585,0.115811874,2.19758037,0.612867862,0.169113084,2.276519379,94.68,0.028042857,0.001525633,8.05,0.000250069,0,144.51,1.732271316,0.351648341,2.621423545,0.167962682
