78_01,78_02,52_10,52_09,52_08,52_07,52_06,52_05,52_04,52_03,52_02,52_01,78_10,78_09,78_08,78_07,78_06,78_05,78_04,78_03
OKUY,TEDY,HOY,RE,OKUDY,HOKY,OPSR,OTAR,LTDALY,HOKUDY,SEOL,YZEODY,ZEDY,TEODY,COLEDAL,COLOL,OKUDY,OLZUDAR,OLKSY,AL
AL,OKAM,TSEDAJ,ZEDAL,ZEDY,ZAR,AN,HOTUDY,STSEDY,DZY,ZEOL,LEOR,OTAR,LEOR,RANR,ZUDY,ZUDY,YKDAJ,OKSY,ZDAJ
CAR,OKUDY,ZUDY,COLOR,DDY,STSOR,YZEAJ,SEOL,OL,HOPSEDAJ,OKAL,TAM,YSUOR,TAIR,ZY,DZUC,HOKAL,ZUDY,YKCD,YKDAN
HOTSDAR,RAIR,HOKEDY,OKEDY,HOKUDY,OLTUDAL,OTG,ZEOL,OTSEAR,OL,Y,HOPSEDAIR,HOL,YZUDAM,SEOD,HOPSEOC,AL,HOKAL,SKSUD,KUAR
KSAIJ,TSEOR,OKAR,ALYOL,ZUDY,OLAL,COLSO,YKSOR,HOKAM,HOKUDY,OKY,AL,OKUDY,LKSEDAR,ROM,ZUOR,OTY,LKSE,ZEDY,LCC
DAM,LJ,YKUDY,OPSUEDY,OKAL,Y,HOKSAM,OTY,HOKUDY,KODY,ZOC,HOKY,HOKAL,OL,OKSAM,ZEDY,OLSAR,OR,HOKEY,HOKAL
OKAL,TAIR,OLSDAM,DY,AIR,OLYEDOL,OTUY,ZEDAL,Y,OTEDY,HOKUY,ZUD,OKZAC,KZUO,HOKUY,CDY,LKDAIR,KZUD,Y,LKSEOLY
HOL,HOKUDY,OLKAL,TSEOL,OTY,SKSAI,YSCDY,HOKUY,OLSUAR,YZAIR,RR,OLKUY,SDY,AM,TZEOR,HOKUDY,OKEDY,AL,CAM,ZUO
LKUEY,TSOR,REOLY,ORR,ZUD,LSO,REC,ODYR,OTEDY,OKUDY,HOTSEDY,LKSUEY,OKUY,SEY,LKSG,OL,ALYEDY,YUR,COLEDY,OKUY
HOTOR,HOKZDAL,SDY,ZEDY,ZOL,AIR,OLKUY,ZY,LDY,OTAL,SEOD,HOTSEDY,OLKUY,OMDAR,ZEDY,HOPSEDAIR,KSEDAJ,DZD,SDY,RUEY
PSEODY,LKAR,KZUD,RG,AN,OKSY,DAR,OLD,HOKUDY,LTAIC,AN,DAM,Y,DAL,OLSUDAR,Y,DAN,AM,HOPSOL,HOTSAN
OL,LKSUEY,RR,YKAM,HOFSUDAL,ZEDY,YTUAR,AJ,SKSUAR,OLSAR,OKSUCY,AM,SEY,OKZOM,OLSDY,DSAM,OKAL,DAL,HOKAM,OPSEOC
CAM,OLKSEDY,ZY,OTAR,SEDY,OL,DAR,DAN,OTAL,LKEOC,SDY,KSUCY,OTSEDY,HOKAL,OFSDAR,STSAR,LCAR,HOKAL,TSAIJ,OPSEC
HOTEDY,SEDY,SKSY,OL,DAN,CAM,ODDAM,OKAL,AM,LSUOY,OKUY,ALUD,AR,OLSAR,HOTUDY,AN,OSDY,OL,HOL,ZAR
OFSAN,DAIR,OLYOR,YSUOD,AM,ZEDY,LTAM,OLSUD,HOKZEOL,SEDY,SEY,OKEDY,DAM,TZEODY,ZOL,TZUDAJ,Y,HOKUY,HOPSO,OKEDY
TAR,LKSOM,OPSEC,SEDY,OPSEC,OKY,HOKUDY,OSEODY,HOTUY,OPSOR,HOKEDY,YSOR,LKSD,OKZEOLC,RAL,SEDY,HOKSY,ZKSY,CEOR,ZEDY
AL,TSALY,YTAR,TAR,OLSEDAL,AR,HOKEDY,AM,STSAIJ,DAIR,COLKG,HOKSY,HOKAL,ZEDY,OL,OPSUEDY,KAM,ZEY,HOKUDY,RUAJ
DY,LKUEY,LSEY,ODYAL,OKEDY,OLKUDY,HOKAR,CZDY,LSUDAL,HOKAL,KDAL,KEOL,LCAR,ZUAL,DALYDY,KSUDAM,CAM,RNR,ZDAM,YKAIR
ZEDOR,ZEDY,CALDAIR,OL,YKEOC,OKUY,ZEDY,OL,OKEAN,OL,CAN,LAM,LSO,OLSEODY,HOKEY,OR,RAM,ZEDY,CSOR,HOKAR
CALCDY,RUAJ,COLSDY,OTEY,PSDY,AN,TED,HOKAR,AIR,ZOL,OR,ZEY,LKSG,HOLKOL,HOL,LKANN,OKY,ZEDAN,ZEODY,HOL
OR,YKAIR,OLSEDAN,HOTUEO,ZODY,OPSAIR,HOPSEC,OL,OLYEC,OLTO,KEDAR,HORDAR,CALALY,TUO,DSOR,KOR,SEDY,ZO,LCEDAL,OLZUOD
DSEOC,LEOL,SKSEODY,ZAIC,OL,HOKSEOR,RAC,HOTUOD,ZEDAL,AJ,DZC,HOKUDY,CED,ROM,ZEDY,PSJ,HOKUDY,HOKY,OREOC,OKUDY
HOKEDY,YSAC,DSEDY,RDY,HOKEDY,HOKSED,ZAI,SEDY,YEOR,OLKSY,HOKUY,OTUY,OTEDY,SOL,LSUDAL,OL,HOKUY,SUDY,YER,KZEDAJ
OKEDY,OKUDY,HOPSAR,SEY,HOKY,DSEOC,LKDAIR,OKUDY,AL,ZEDY,RAL,AM,DSOL,DYKEOR,SEDY,HOTAR,AM,LKEDAJ,SAL,OPSDAL
HOTSEDY,LKOR,LKSAL,OKSEDY,DAR,KECY,LSER,LKOR,OKSY,OLSODY,ZEDOR,DAL,TSOC,DALYDAL,HOTEDAR,OL,DY,DAM,RAL,DYKDY
YKAC,KSALY,YTCD,LZOD,OTUDY,ORYEDY,DAR,OPSED,ZEDY,OL,KEDOR,OL,RUEC,DSOR,Y,ZEDY,SOL,SEOL,HOKAL,OKEY
Y,OKEY,ZEDY,OKY,OKUY,YSE,DY,CAREODY,HOL,HOTEDAR,ZEDAR,HOKSEOR,LCCY,HOKEDY,COLEOL,HOKY,HOKSDY,DAEODY,SKSUD,OL
HOKUY,ZEDY,DALYEOL,ODYAR,RAL,AM,COLKAL,COMAM,LED,SUDY,AM,HOKEY,ZEDY,ZKSY,COREDAJ,OKDAM,ZOR,HOKSAM,LSDY,HOLKAIJ
OR,ZOR,DSDAIR,YTY,HOL,LKED,TSAM,DSOR,YKE,HOKUY,HOKEDY,ZE,DALYED,HOTSEDY,OPEOD,HOKUY,OR,OTY,LKSUAJ,ZEDY
PSAIJ,SKSUOD,OLZUEY,AL,DYKO,ZUY,STSUEY,RAM,OLUAR,RAL,YUDAL,LTJ,OTY,SKSY,OLKY,ODYEOD,DSEOC,AM,ZEDY,SEY
HOKAN,RDY,HOKSEDY,OTAN,COMAIR,AM,HOTEDY,LSEAM,STSEOC,SEOL,DAR,LSER,LKSDY,HOKEDY,RUEY,SOL,OTEDY,HOTR,ZDAN,ZY
OPSE,HOFSUDAL,HOEODY,OPSEDAR,ZEODY,OLKAL,LTNR,OKO,DAIR,CARDY,ZEY,SDY,OKEDY,HOTY,COLKEOR,HOKSEOR,SEY,OTSEDY,OR,AR
AIR,OKO,DSEDAJ,AM,ROD,HOKY,YKAIR,HOKZOR,SKSEDOR,HOKSAM,DSOR,DSUEDY,HOSAN,AN,TSANN,HOKSDAL,OKSEDY,DAR,ZEY,ZEDY
OLTEDAJ,HOKY,OTUY,LKAM,OLTEAM,LTUEY,HOKAR,LKALY,KCY,OTY,HOKUY,ORAM,YSEDAR,ZOL,AL,HOROR,DAR,HOTE,OTY,ZEODY
HOKEDY,AL,OL,Y,SO,ODYEOR,SDY,HOKUEDY,SDY,RDY,ZARY,OTAM,AM,OR,OTUDY,KUEY,ZEDY,LTAI,AR,RUO
TSANN,HOKUY,HOKAM,YSUCY,HOLKEOC,HOKAL,ZEDY,OLKAN,HOROR,SEY,AN,RUY,HOKUY,RSOR,OFSEOC,ORYEY,HOLKOR,ZUC,HOTUDY,SOL
RDAM,SKSAJ,AM,ZKSY,HOKUY,SEY,HOREY,DAL,ZEY,OTSEDY,POM,OKSAC,ZY,OKAN,CAM,ZEDY,STSAM,AIR,OKUY,PSDAIR
HOKY,RUY,OTAN,RC,SEOL,ODYDAM,YZUD,HOKY,SEY,OLEODY,HOTY,LKSANN,LKSUOL,DAIR,SDY,DSOR,HOKAM,HOTAN,LTOM,ZUDY
REDAIR,DAN,OLYEOLY,OFSEDAJ,RSOR,DSEDAJ,AM,AM,HOSOL,DSOR,AM,RDY,DAN,SPSOR,LKUO,LKAIR,RUY,OPSE,OL,DAL
OL,ZEODY,LKSUEY,TSAM,HOKAN,CSAM,DAJ,ZKSY,OLZEDAR,OLKUY,HOFSEOC,OLKAL,DSOR,LSEY,LTUOR,HOKAM,DAIR,AL,HOKSDY,HOLKOR
COLAR,AM,COLKEOR,LKUD,KSEDAR,COLUD,SDY,ODYJ,AM,OLSY,HOTUCY,LSAIJ,LSOR,AM,HOTUOD,LKSUY,DSAIJ,TZOR,CAREOL,CAR
AL,TZEOC,YKSUEY,AL,RUEY,RUDY,HOKSEOR,HOKAL,HOKUY,RUY,OKEDY,OLKUDY,YSUDAM,KEC,HOKUDY,DAM,OSDAIR,YKEC,ZEODY,OKZDY
TEODY,OLZUCY,LTC,HOPSDY,AM,YSAC,HOKSEOL,OSOR,SDY,DY,COLKUDY,HOROR,OSEOC,LKAM,OKUO,HOKY,YSDALY,SEY,LKSDY,HOKAL
HOTY,LSEOC,OFSEOC,DSDAM,ZEDY,OLKUDY,HOKY,OKUDY,HOKAM,DSOR,DSUEDY,YKSDAL,OKUDY,OKZUDY,HOTEDY,RANN,HOFSEDAJ,COLKUDY,OSUR,TZEOC
HOKUDY,HOPAC,TSED,SAR,YKSUEY,SAR,RJ,HOLKUEDY,ODYEO,ZKSY,YPSEOL,KZAR,OKY,HOKY,HOKEY,AJ,ZEOL,OLKY,AR,OTSE
AR,AJ,OLKUY,ZEDY,AJ,YKUEO,CAR,OTAL,OLYEDAR,COLKDY,COLUO,RUDY,AM,RUCY,CALDAL,ZEY,OTY,AJ,ZEDY,AM
ORO,YPSAM,HOKUY,DADY,HOKUDY,KAM,HOKSEDY,OL,AIR,TSUEY,AM,KEDAR,CAM,LCAR,HOKZAN,TSUEY,REDOL,HOKAL,ZEODY,OKSEOL
DALYJ,OLKUY,AN,ALUOD,SPSOR,HOKY,DAR,YTSAR,LSDAIR,LKSUAR,HOTUDY,HOPEY,OL,OTUY,HOPSUCY,AL,ZEDAL,ZOC,COLKAR,HOKUY
ZAIC,OROR,OTSDY,HOUDY,HOKAL,DAR,KE,RUAR,OTEDY,HOKY,KEDAR,ZOL,LKAR,Y,OR,TEOLY,HOKUY,COLEDAJ,YTY,ORUEDY
SEDY,TDY,OTY,OKSAM,LCUO,OKUDY,AM,OLZEDAR,OTAL,AM,HOKUDY,CALEDOR,AM,HOKUDY,OTY,AN,RUDY,TDY,AM,OKUDY
HOKUDY,HOTY,HOTUDY,DSDY,OLKUY,HOKAL,LKAM,HOKUDY,ZKSY,YKSAIR,SUD,YSED,TSEODY,OTEDY,KAIR,HOKAL,KE,HOTY,OTEAN,KUOD
TSALY,HOKUDY,DAR,OL,RUDY,OL,HOKAM,SAR,RUOR,LKAR,KAIIC,HOREDY,OKY,OTY,HOKSY,HOL,OKUDY,TOL,DSEOC,HOKUDY
OFSO,HOAI,COLDY,ZAR,HOTEDY,OFSEODY,RU,ZEDY,OKY,LKSUDY,YKAM,ZEOL,HOPSEDY,HOKUDY,PSJ,STSUD,OLAR,LKDY,OLTUEDY,SEDY
YTCAM,CALCDY,OTEY,PSJ,DSDAM,YTEOLC,OLYEDAR,CARO,REDOL,HOKEDY,DSOL,HOKAL,YTSO,AR,HOL,LTUDY,YKEDOR,HOKSDY,HOKEDY,HOKUY
COLSEODY,OTEDY,ZEDY,SEOL,AR,COLSJ,AM,HOL,YTAR,DSDAJ,HOPSEC,ZEDAR,OTEY,OREODY,DAREODY,ZEDY,KDAL,OR,HOKSANN,KCY
OL,ZEDAR,OL,SUDY,OLKUY,SKSA,LSOR,HOKZDAR,LKOR,SAR,YTEOLY,RAM,RAM,OKEY,LKEDY,OFSUDY,HOKZEY,OFSAN,RC,OTEDY
SUY,DAR,HOKY,YKAI,YSEDOR,KAI,HOTEDOL,OKUDY,OTUDY,ZEY,OTEDY,LCNR,OR,HOKEDY,ZEOL,SAR,HOTUDY,OLKUDY,SPSEOC,ALAIC
HOTAR,ZEOL,OKUAR,SEDY,HOKEDY,DAR,LSOR,CSED,HOKEDY,HOKSDY,ZEOLC,ZAR,SPSEAR,OL,OKAM,ZEDY,CAM,CAM,HOKAL,SKSY
SUOR,TSALY,TSALY,HOKUDY,ZE,HOKUDY,YZAC,HOLKEODY,HOLKUDY,OL,CYO,KED,OLKUDY,HOKZDAR,OL,OKEY,OR,LCE,SDY,TEDAIR
ODAM,DSJ,HOKZDY,HOKAM,DAR,OLKAM,AL,ZG,SUD,HOKZEDY,HOL,SUDY,YKSAM,OTUDY,HOTUY,KED,HOLKDY,CALAM,ORAI,SOL
STSDY,OL,OLSCAM,LKEODY,OTUDY,OLSAI,CSAM,COLSO,ZEDY,HOKUDY,HOLEOR,YSAR,HOKZOD,YPSAM,ZEDY,SPSOL,OR,OTSY,RUDY,OFSDY
TZUDAJ,OTSY,PSDY,YUR,YPSEOL,ZEDY,HOKUY,SOL,OKEY,TSALY,HOKUY,HODAM,LCUAJ,HOTY,SEY,HOPUDAM,OKSY,CZDY,YKEOLY,ZG
SEDY,HOKSY,OLSUODY,SEDAIR,HOKY,LKAM,OROR,SUY,CALAIR,HOKZEODY,HODAJ,HOKAM,OKSY,ZEDY,HOTSAN,LCEDAR,ORSDY,SDY,OTSEDY,PSDY
TSEDAR,ZEY,HOKEDY,HOKZO,YKAM,OTSEDY,OKUDY,HOTAR,DSEAR,OLSUAJ,HOKALY,SOL,HOKEDY,OR,YPSAC,ZEDY,LCDOL,OLKEDY,OTUY,SDY
ZEDY,OL,OREY,SEDY,ORSUAJ,SEDY,YSAC,DAR,HOKUDY,DYTEOR,OLKUY,YTSO,SEOL,ORSCAM,KEDY,HOL,HOTUD,OLZAR,YKCDY,OOD
HOEAJ,SUDY,HOPY,ZKSOL,OTEDY,TSE,TEDY,YZY,OKAL,ZUEODY,HOTEDY,LSUOY,SUY,OLZAIR,ZAL,PSEOLC,AR,SUOR,YSEOL,COLEY
SDAM,ZEY,ZAR,HOPSUAL,ZOLY,KEDY,LKDY,OL,SKSUOD,YSUD,LSUR,SDALY,YKUO,OO,SEDY,OTEDY,OKUDY,HOKAIR,SPSEDY,YZAJ
OTAR,LKDAR,YKUEY,AM,HOKEDY,ZKSEDY,DYKEODY,OTUY,ZEY,SKSY,LZEC,DSDY,DZDAJ,HOTUY,YZUDAR,HOL,OKAM,OLKUY,TUDAM,HOL
AL,TUC,HOKSEDY,OTUY,HOKUY,OKUDY,SKSE,HOTEDY,SOL,HOPOJ,HOREOR,SEAJ,HOKDAL,OLDAM,LKSEDAL,SUDY,OL,OLZUEY,OL,HOKUY
OREAR,ZOC,AR,SEDY,OKUDY,ZTSUEDY,OLUAR,ZKSY,OTSY,LCUO,LZEAJ,SKSY,ZOL,HOTAM,SKSY,ZEY,OTUY,OKSEDY,HOKZO,YKECY
LAC,HOTR,TSAC,ANNE,HOKAM,LKEY,YKSEOL,HOTSEDY,COLSDY,RAM,SC,OKUDY,YSANN,OL,LAC,LKEDY,HOKEDY,OLEDAIR,ZG,HOTSAN
TAN,HOTSEY,YSEDY,OTSEAR,LCUD,OKAR,HOKY,TSUOD,OL,LSUDAL,OTAR,CAN,ALYEY,HOKUY,HOKUDY,OLKUDY,ZKSY,ZEODY,PSDY,OLKAL
SEDY,OTAL,HOKSEY,DZUDY,OTEDY,HOKY,ZEDY,ZEDY,OTZEODY,OLEC,AN,AM,TSEDAR,OLZUEY,DZEDY,ARDAL,HOSEDY,ZEDY,HOL,HOKY
HOPSAIR,OKY,SEDY,SKSEC,OSER,ZEOL,OL,DAR,HOKUY,OKY,YTSEDY,HOTUY,HOTEDY,HOSEY,HOKUDY,YTSEOR,OLKAL,HONN,SUY,CALEY
TSEDAR,ZEDY,TSODY,HOKY,SEDOL,SEAR,CZNR,HOKSEY,HOUDY,KAN,HOKAR,SEDY,DAR,YPSE,OR,LSUOY,DSDY,OKDAJ,YSEDAL,HOKSEY
OTEDY,AR,LKSAR,YKUY,HOKY,HOKUDY,YKED,OKUDY,ODAM,OKSEY,OTY,DE,OZAN,ZEY,CSUOD,DZEDAIR,OKNN,HOKAR,OKDAM,DZDAJ
ZUDY,LYOL,OKEDAN,OTSDY,KEAR,HOL,DAREODY,HOKAR,ZOL,SDAM,TEDY,TEDY,TDAN,SNN,HOTEDY,HOLKDY,DZUOR,RUO,ARAM,LOR
DOREOL,YZEDAN,SPSUDY,OL,HOTSEY,OKAL,HOKUY,RAR,OLZAIL,OTAR,AR,DAR,COLKAI,HOUAR,KSL,SCAIRY,ANNUEDY,DZDAN,OREODY,LKDAR
HOKUY,LKSUD,SEDY,HOKUY,HODAM,OTY,SEDY,OLODY,HOTSEDY,ODYAR,TED,TAIR,DAR,ANNEDAJ,SKSAR,SUDY,COLOL,HOTY,ZKSY,LAC
YTSAIJ,AR,HOKUDY,ZOL,CUEDY,KUOL,OKUDY,HOKY,YKSE,SDOR,TSEDAR,CAM,HAIC,OREY,STSAIJ,OTAR,ZTSE,YZAN,HOTSEY,HOKUDY
LZUODY,LEDAR,OL,OKZEAR,YTSDAR,ARYAM,ZUY,YZOL,HOKEDY,OTY,ZEDY,OLKY,HOPSOL,LUOD,LSEDY,AM,TEDY,DAR,TSAIC,SEDY
SR,TEY,HOKAL,SUY,LUOD,LKAR,OL,DAR,AR,HOKUDY,HOKAN,ZEDY,SUDY,OLKUDY,SUY,OKUY,OLUDY,OKUDY,YKOL,HOPSALY
OSEDAJ,AR,DSDY,LSEDY,HOKUDY,AN,HOKUY,HOKUDY,HOKSEY,LSEDY,OKSDY,OTEOY,OL,SEDY,DAR,OKUDAR,OR,OLSEC,ZAL,CSAIC
ZODY,ZEOL,HOTAN,SEY,SKSY,SUODY,ZEDY,ALEC,SEDY,OLUDY,YTOC,YTAI,OTAL,HODAM,OSUEY,DSUDY,TSUOD,DSOD,SUDY,HOKEDY
OKAN,SEOL,HOTSDY,ZKSY,LSEDY,OKANN,LSUDAL,OLKY,OKUDY,ALEC,HOKUY,HOKUY,ZEODY,OL,AM,OLEDY,YKUY,ZUDY,HOTAR,OKAN
SOL,TSEDAR,OL,REALY,HOKUDY,LSUEDY,SEC,KUY,ZTSAIJ,HOKY,AN,AM,ZEDY,YKSEOLY,DLUY,OTUDY,OTSDY,ZEKSY,AM,OLKSDY
COLO,KUY,HOKUY,OTED,YTEDAIR,ZODY,DSOD,OTSDY,ZOL,ZEY,OLDOL,OKA,ZUDY,KUOL,OR,ZEC,OR,ZAR,ORDAR,OL
LCDALY,DOLAM,HOTUY,OKUY,HOLKDY,KSAM,LZEAJ,OL,DAR,OPL,OKAIL,SEDY,OTSDY,DORAIR,OLKUY,DSEOR,HOTUY,HOTUY,CUOD,ORUO
OKEDY,STSAR,REAR,KAM,HOKAN,LKDY,OKDAJ,KZUO,ZTSAIC,SOL,LSAIJ,LSANR,SOL,ZOL,HOTAM,OKAN,COLEDAJ,Y,OTSEDY,AL
AIR,AM,OLKEDY,TSR,HOKSDY,SOL,LDAIR,ODYEDY,HOPSEDY,ORUD,HOTOL,RONN,ORAI,HOKUY,HOKAL,OTSAM,LSEDY,OKUODY,DZC,LZUOC
OTAR,OKUEODY,SANR,AIR,HOL,CSR,LKEDY,SUY,DAR,RAN,PAIR,OTAM,ODYOL,LKSEDY,SEY,HOTUY,SUDY,SECY,ZEC,SUEY
YKOM,SEDY,YUEDY,HOKAR,LKAR,ODYDOR,HOKAR,SUEY,HOKUDY,SOR,LKEOR,STSJ,DALEAR,SUY,RUAL,ZOL,AR,OSUEDY,HOTY,OSEOC
OSOD,CAR,DARYUOL,YKOM,LTOL,OTEDY,HOKY,SEY,OL,LZUEY,LCEC,ALEDAIR,CAR,OKECY,YSEAN,AIR,TZAIL,OLKOL,KUOL,HOKOL
OR,OSEDAJ,OL,SEY,ODAR,OKSUEY,HOPEDY,RALC,TSEDAR,YEDAJ,SEY,ZKSY,SEY,LSAIJ,SEY,AR,AM,ZUDY,DOLEOL,OTAM
TDOL,HOKOL,OTUY,ZEDY,OKEDY,HOKEDY,SEDY,PAM,ZEDY,HOKOL,AN,AM,Y,DARYUY,HOTAIR,CAIROL,HOKOL,HOL,LKAI,ZOL
HOEDOL,OTAM,HOTEDY,YTUDY,CAR,YTUDY,TEOL,ORDY,OTEOY,ZUDY,OTAR,LO,HOTOL,LCAI,YZUODY,LKAM,HOKAN,HOKUY,AL,YSAM
SEDY,LKOD,ZEC,LKAN,Y,DARDAR,HOTAL,SEOL,SDY,OL,HOKEDY,DAL,HOKAN,KAM,DAR,LKAM,OL,RAM,SKSY,YKSUEY
HOTUDY,SOL,SEY,SKSY,AIREO,TSEDY,DSDY,OKSANN,KZAR,LKEOR,DAM,LSDY,LCUO,HOKAL,HOKAL,AJ,OREODY,ALEDOL,OLKEDY,LKSDOR
PSALY,CSANN,AM,TSEAR,LCAR,TOJ,OLKORY,AN,AJ,ZDALY,YO,OL,ZEDY,OLTUEDY,SUDY,DLEO,HOL,OLTUEDY,DZANN,HOKEDY
HOKAN,AM,HOKAR,HOPSUC,RAM,OLSUY,LCUD,HOTAR,LZUODY,YAIJ,ZUOR,TA,ZEC,LO,HOKAM,OL,OKSANR,LO,OKEDY,OPSUEY
DAN,LEOR,HOKEDY,ZEO,SEOL,OLYAM,COLOR,KEOD,OKANN,HOKAR,LKAN,DAR,SEY,OLYANR,KSEOD,HOKUY,LTUAL,OLYANR,AM,HOTEOL
OLSEDOL,OLYANN,DAM,DAN,YPSAIL,HOKAL,SOLY,OLTEOR,LSOR,ZEDY,SUDAM,YKSEDY,AN,ZEDY,ZEDOL,ZEDY,OTEDY,KAM,OTOL,HOPDOL
AN,ZEDY,SEY,ALEC,RDAN,AM,SUEY,OL,OKOL,KSUEY,AR,OTUDY,LJ,OR,AL,LCUDAM,OLYANN,HOKUDY,OKAN,OLEC
KSALCY,OLSUDY,ZEDY,AN,HOTAL,OPSALCY,LSEDAJ,OTSDOL,PAM,YKDAL,OTSY,ZUY,DAL,OKUDY,OPSALCY,ZKSY,HOTEDY,OEY,OL,OLUDY
OR,SUDY,OL,DY,OSEODY,LCEDAIR,OKOL,SEDY,OREOR,TUOC,OLSEAL,OLSEO,OLTOD,OEDY,ZEC,AN,YTUDY,CSEDY,COLDY,HOKAM
YPSAN,DAR,YZDOL,OJAM,SDY,OLEOLC,OTAN,OKSEDY,ALEDOL,OKEC,OPSEOL,OPSDAL,ZUDY,HOKAL,OLUAJ,LEOR,SUY,OKUDY,ZEC,OLSEO
OKSY,YKSEDY,SEC,OTAL,TUODY,PSEDY,OR,HOTUDY,SEY,OKUDY,HOKSEDAJ,YKSOR,SKSEY,SUAR,CZDAR,DY,SKSY,OLKAM,LKAM,OLYAM
OKSY,TSY,DAR,DAR,OKEC,HOTUDY,COLO,HOKALY,COLKODY,HOKAM,OPSN,OLYUAM,HOEC,OLKAM,YZED,OSDY,OTAL,ZUY,AL,OKAL
OKUAR,OL,HOPSY,PSG,OLUDY,OL,OLSUCY,OTEOD,HOTEAN,OL,HOL,SEOL,DAR,SOL,SAC,HOL,SUAR,ANRALY,OKAR,LKSAL
OL,OKAN,ZUY,SUDY,OLKAM,HOEDAR,SEY,ZEC,OLTEOR,FSAL,TSEDY,HOKAL,HOKUDY,PAL,YZAN,HOTUDY,ZUY,OKSOR,KEOD,LFSAM
SUOD,ANRDAL,DAM,OL,ZUY,OKUDY,AL,AM,OL,ZEDOL,HOKSY,SEDY,HOKAM,OL,LKUC,OEAR,OLSEO,DAL,LSDY,HOKAL
OLKUDY,CSEOC,ZEDAIR,DZE,OPSAIR,OKAR,OTAR,DAM,YZUOC,REOD,PSEY,CZG,SKSUOL,HOTAL,ZUDAR,TSEDY,DAL,OLCEOL,ZUDY,SEDY
SEDY,DY,LTEOD,TEDY,YPSUEDY,OTAM,KAL,LFSEOL,DAR,HOKUEDY,OTUDY,OKC,OLYAM,Y,AM,ZEOL,ZEC,YPSEY,OLKEDY,HOKSY
OTUY,HOTUEDY,DANRDAL,STSY,OPSALCY,SDY,SEY,HOKAL,TSEAR,OLSEDOL,OR,YTEDY,TSOR,OPSALCY,TSEDAM,HOKDAL,AM,OKSY,HOUDAM,PSEDY
ARED,OLSEC,TSDAR,ZDAN,OLSUDAM,OKAR,ZEDY,SEDY,HOPARY,SEDY,AR,ZEODY,OLYEDC,LCEC,RANR,PD,DAM,DYTEDY,OKDAJ,HOKUDY
HOKAR,SEDY,OLKSY,RUDAM,DAR,AL,SOL,CYUAJ,SKSUY,OTSY,OFSUDY,OTUDY,ZEC,OKEOLC,OMEY,SOL,OKUEDY,HOPSAM,OTAM,LCOL
REC,COLSNR,COLSEY,ARUEDY,OKSY,TSY,TSOLY,SKSY,KSAM,CZEDY,OLUD,SEDY,DAR,HOKSY,DALEODY,HOKAL,SOL,DAR,ZUY,OLKY
ZUY,DAR,ZEOL,ZKSY,DYTEDY,RANN,SEDY,HOTUDY,TSUEDY,HOKUDY,CORAIR,ZOL,HOKSY,SUDY,DSEDY,LKSOM,CAM,DSUAR,OPSEOL,HOKUDY
RANR,HOPSEOL,OR,HOKSEDY,OKUDY,HOTSOL,HOKAL,SOL,DAIR,OL,CAN,CORAM,CZAN,OLSDAR,TSDAN,DANRAM,OLNR,SUO,OLKAL,DAR
ZY,SKSY,DAR,DAR,ZEDY,OEODY,SDAM,SEDY,HOKUEDY,AR,Y,ZTSEOC,HOKUDY,DSC,OLSANN,OTAL,OTSY,OTAM,AIR,COLAJ
AR,SPSDAJ,DSUOR,LKAN,HOKZUOR,HOKY,OTAM,HOKY,SKSUCY,OFSUDY,TSY,YKSAJ,HOL,SEDY,AM,OLUAJ,SUOR,SEOL,DAN,ZEDAN
ODY,HOUO,SKSY,YKEOLY,HOAI,LSEDY,LCEO,OTSEDY,HOUAJ,SAR,Y,AM,AR,ZOL,YKSEOL,ZAR,YTEY,LOR,LFSDAL,AM
OTY,HOKAM,STSY,SEC,RSEOL,HOKSUAL,OPSAM,LKAJ,PSEDY,OKAM,SEY,OKEDY,OFSUOR,HOTAM,HOKOR,SEDY,OKY,YPSOJ,OTAL,CAM
HOEC,LEDAJ,SEOL,OTAR,ZTSOR,SKSAIL,TSEOC,OR,OTUDY,ZDAN,OLKSEDY,HOKSEDY,SEDAL,YTODY,SEDY,HOTUDY,OKUDY,RUEY,OKEOLC,OTAM
OLKAR,TSY,HOKAR,SOL,HOKAL,AM,DAM,LUEDY,SDY,OKZEC,DAR,SEDY,HOTAM,AM,HOTUDY,YTOL,DAR,OMEDY,PSEDY,LTANN
SDY,AM,REC,SEY,COROR,OLKAL,LFSAM,YPSAJ,SEDY,AREOC,ODY,ODY,LCDOR,CAM,OLSANN,HOKY,HOTUY,OTZEODY,ZEOL,OTSEDY
TZOR,ZKSY,CORDAIR,LKSEDAIR,OSUR,ZARY,YKSAN,RAIL,HOLKUDY,OSUDAL,DSEY,HOKY,AN,HOKEDAJ,ODYCY,OKUDY,OTAM,HOKZAN,SEOL,SUEODY
OTAL,HOTSEY,LSEY,ZY,OKUODY,REY,DYTOK,HOTSEDY,LSEDY,SUODY,CSODY,SUCY,CSARY,OKEDY,OKUAR,LSEDY,LCUDAR,OKSDOR,DAR,HOTEDY
OR,HOLJ,HOTSAN,LTAN,KE,TSED,OKDAM,SUY,LKY,KEDAR,OL,ANNAM,AM,HOKSEDY,ZUY,YTSOJ,AM,LCAIL,OKY,HOKZEDY
