Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,PC1,PC2,cluster
saiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheeedy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
oshor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
amam,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheal,0.0,0.000335967,0.000198526,3.05424e-05,9.1645e-05,0.000152712,-2.9055393390116158,0.0700075255973307,3
oshar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ainor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
sar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
kedy,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
oshal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheeor,0.0,0.000475463,0.00061131,0.0,0.000169841,0.00040754,-7.131229638418635,-1.2820560579675033,3
chedyor,0.000152712,0.000198526,0.0,0.000167983,0.000168016,4.58136e-05,1.4114985796448425,1.0553899566203249,5
cheeo,0.0,0.000488679,0.00012217,6.10849e-05,1.52742e-05,4.58136e-05,-2.2344141774952013,0.2081104945741346,3
olol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
chedyal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ainal,0.000183255,0.000152712,0.000137441,0.000152712,0.0,7.63561e-05,1.1664165924319794,-1.223381684051207,2
dyor,9.16273e-05,3.05424e-05,0.0,1.52712e-05,3.05483e-05,0.000534492,-1.637378058370369,-2.2481308350849964,3
sol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ychor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ychal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
qochar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
yshar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
alal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
arol,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
sal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
taiin,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
cheo,0.0,0.000397052,7.63561e-05,1.52712e-05,4.58225e-05,9.16273e-05,-2.2611412577765995,0.11049156229648947,3
chey,0.0,0.000305424,0.00012217,1.52712e-05,0.000106919,7.63561e-05,-2.188619044857099,0.5399766055267717,3
dyar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
qoshar,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
dyal,0.00012217,3.05424e-05,9.16273e-05,4.58136e-05,0.0,0.000320695,-0.5950397954539809,-2.1051025385868947,1
chkal,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
sor,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
ys,0.0,0.000167983,4.58136e-05,6.10849e-05,7.63708e-05,0.000244339,-1.6112021014392306,0.14749960357272776,1
aror,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
qo,0.0,0.0,0.0,0.0,0.0,0.0,0.032497752085846425,-0.03011436113166709,1
