word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars,PC1,PC2,cluster
tchdaiin,0.0,9.28532e-05,0.000551337,0.0,-1.7347575689848374,2.2316509648495035,0
shkair,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
tchal,0.000137882,0.0,0.0,0.0,0.7827602386250823,0.046285242351693165,0
soaiin,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
tarol,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
tedo,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
tarar,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
shotchy,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
taral,0.000137882,0.0,0.0,0.0,0.7827602386250823,0.046285242351693165,0
sholkeedy,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
taraiin,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
shokar,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ssheey,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
shokaiin,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
soral,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
shoikhy,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
teedar,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
shocfhy,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
teedal,0.0,0.0,0.000551337,2.81837e-05,-1.0173916073064102,3.0091830134814512,2
shkar,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
shepchy,0.000137882,0.0,0.0,0.0,0.7827602386250823,0.046285242351693165,0
shkaiin,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
solcheol,0.000137882,0.0,0.0,0.0,0.7827602386250823,0.046285242351693165,0
sodar,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
teed,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ychdy,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
ykeos,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
yteeo,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ytair,0.000137882,0.0,0.0,0.0,0.7827602386250823,0.046285242351693165,0
ychedal,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ykaly,0.0,9.28532e-05,0.000551337,0.0,-1.7347575689848374,2.2316509648495035,0
xar,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
yteol,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ychees,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
toky,0.0,0.0,0.000551337,2.81837e-05,-1.0173916073064102,3.0091830134814512,2
ykeody,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
ypair,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
yched,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ykaiir,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
ykees,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
