word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3,PC1,PC2,cluster
kshey,0.000267314,0.0,0.0,0.0,0.0,0.0,1.12372556289869,0.03803926642567402,1
kechedy,0.0,0.0,0.0,0.0,0.00107946,9.32e-05,0.24572406037288097,-2.6973325202908853,1
keeedy,0.000267314,0.0,0.0,0.0,0.0,0.0,1.12372556289869,0.03803926642567402,1
lcheo,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
keedal,0.0,0.0,0.000514139,0.0,0.0,9.32e-05,-0.6486925746878538,-0.4906530218478243,1
kaldy,5.46e-05,0.000412378,0.0,0.0,0.0,0.0,-0.49750884402727763,2.1090400028683947,1
ldaiin,0.000109269,0.0,0.000514139,0.0,0.0,0.0,-0.6004015641949476,-0.28867150372757544,1
lcho,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
keear,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
kedar,0.0,0.000206189,0.0,0.0,0.0,9.32e-05,-0.09569080790979605,0.8276288231682796,1
lkechedy,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
loeey,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
lshed,0.000109269,0.000206189,0.0,0.0,0.0,0.0,-0.04739979741688974,1.0296103412885282,1
odl,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
lko,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
ok,0.0,0.000130091,0.000324386,0.0,0.0,2.94e-05,-0.9512649646244397,0.3654065788049544,1
lsheody,0.0,0.000130091,0.000324386,0.0,0.0,2.94e-05,-0.9512649646244397,0.3654065788049544,1
odam,0.0,0.000412378,0.0,0.0,0.0,4.66e-05,-0.521413722215005,2.0080785651327724,1
lokeedy,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
odaiiin,0.000109269,0.000206189,0.0,0.0,0.0,0.0,-0.04739979741688974,1.0296103412885282,1
lodaiin,0.0,0.000412378,0.000514139,0.0,0.0,0.0,-1.500138403298272,1.870246462081161,1
ochey,0.0,0.000206189,0.0,0.0,0.0,9.32e-05,-0.09569080790979605,0.8276288231682796,1
lkeed,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
ocheey,5.46e-05,0.0,0.0,0.0,0.0,9.32e-05,0.3539369845831404,-0.25185948106059075,1
ltal,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
lkcheo,0.0,0.0,0.0,0.0,0.00107946,9.32e-05,0.24572406037288097,-2.6973325202908853,1
okedaiin,0.0,0.0,0.0,0.0,0.0,0.000228019,1.005709373467762,-0.45610388970776655,1
