text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Gibberish - DC_11,5.755119668006458,2.8461129833839935,0.4438097714880717,6.688579735579996,2.6139784049236487,0.35581071359659594,-0.07601801930946459,1.2785631119190244,0.977025104847426,4.23742766361473,1.1083854740017867,0.8061254456139479,2.8415833496456657,11.75,1.8840000000000001,1.8528642060406444,0.5562832956063727,-0.98239120469779,1.5427099965212028,0.6748070010490981,-0.4906840141906109,0.1253078245533508,0.04286345570164123,142.15,3.723483396651773,0.5505363240362566,0.2723692168721191,2.9741483263607216,0.7404244415969062,0.29172222479066184,1.6068495094270268,121.2,0.012398406994744503,0.0,22.61,0.0809134150279405,0.0011589302126789416,603.27,1.7137275208281193,0.4339973405245251,2.261011162293512,0.03000045837709595
Gibberish - DC_12,5.662118925214695,2.8232312853442854,0.4417811016230976,6.064132440511418,2.6704154235287416,0.5320583118290949,0.05972962095787839,1.2889715630156864,1.020059275247235,4.862953209932456,1.1737425282339817,1.2276259207844342,3.8238323643252246,11.74,0.7604000000000001,2.1012798104947414,0.357527007588521,-2.5098399212200646,1.676625919551819,0.5493699939094105,-0.7342800175377185,0.1184729511595844,0.03806626034335914,132.38,3.840561849062727,0.5466117026228924,0.26605060866797187,4.2729723385585086,0.6913485693487254,0.22703229223947705,2.096480855963504,136.03,0.0,0.0,25.64,0.062026303565859156,0.000585374765637708,583.86,1.709844679247737,0.4247738003400296,19.968099243901044,0.017484250358869496
Gibberish - DC_15,4.654410076053534,2.250558864651498,0.9999614248984853,5.070109898304922,2.272936959017361,0.8948509102554087,0.08354492927711324,1.2439886328652026,0.8222684831611172,3.7593854673102807,1.001149591936699,0.696166892004506,3.412789726536077,7.89,1.5652000000000001,1.9529799250451776,0.4902017958394491,-1.3194305166807865,1.9136505719254908,0.5168844062603418,-1.3629379226334049,0.1902857064425486,0.03793159758496298,178.07,3.1915943963269893,0.5109551891890929,0.27055729597492334,2.212938530185159,0.7175435583435448,0.1987895341728085,2.0516274781463157,156.43,0.0063690393746576365,0.0,24.78,0.028005627954328476,0.0011874443602611973,529.5,1.777696853736152,0.5016313273495702,5.003588350547907,0.008149415694396391
Gibberish - DC_16,4.557356188987691,2.9061911969645458,1.474578748806027,4.804398531104242,2.9208732493054694,1.4326306540502716,0.12336267645763425,1.5071030309626186,1.2179948496083493,3.7117677077280757,0.9577875767845698,0.6296409873458367,2.752011260339247,7.68,0.6816,2.1189491968267187,0.3293931069856119,-2.710358545660629,1.9606277384767006,0.40701975654644673,-1.8360765403712027,0.15464066539311036,0.03443925855515735,143.65,2.3321206420801137,0.5564696418717527,0.24904252617861503,1.5696357915320904,0.6457905633698754,0.1617906943371113,1.1938311084746573,166.23,0.0022189628812701633,0.0,25.94,0.04898545391465774,0.0,651.51,1.6784667287862691,0.5228772944308168,13.13633827013796,0.007435013106951181
Gibberish - DC_18,4.37996620258392,2.3155132461999464,0.9270069407757636,4.940439482257814,2.325855645270355,0.7088184443510618,-0.08597238779627245,1.2757739155538117,0.8047806721921265,2.4801580482592422,1.0502385943867163,0.6343705071015497,2.101452657691005,11.64,1.6328,1.8409700624638041,0.5730677937453894,-0.986226041010099,1.914397509034505,0.47915856128563145,-1.1696228569774656,0.14536872664369596,0.04432990138582793,129.46,3.8084489358531592,0.46333629941072535,0.2461910770063719,3.889498520870108,0.8205953018890302,0.24939854644268922,2.976081005125059,150.23,0.0018563808085373678,0.0,21.89,0.006601745830438777,0.0,431.4,1.8125681660377564,0.47668143303324634,4.293794041352637,0.01614866912730903
Gibberish - DC_20,5.665880999488769,2.8452791173610406,1.6994552643846665,6.186720885970658,2.6720108649234304,1.8732920013759615,-0.08631308648247753,1.1958379026788564,1.022864783936713,5.217502365129839,1.1809847551282526,1.4791756261596398,6.250909219357072,12.27,1.8064,1.7277733432676678,0.6323190266665056,-0.6766967536949084,1.645964243862813,0.5927226137539539,-0.5251614143204332,0.1328360094738324,0.04976136692696252,149.43,6.877113461237534,0.4603157096917457,0.23984661693846904,4.828784696571521,0.7497595096048089,0.20758505853905335,3.114320191812939,117.11,0.03768664129792695,0.0,19.71,0.05690496107645171,0.0,355.11,1.6511299280430882,0.3723834807636008,4.260044725332962,0.08505715941401493
Gibberish - DC_21,6.326615003988495,2.5951353066454947,0.521328231688688,6.83099155929294,2.568059780280865,0.4298408408325215,-0.052673286732466656,1.1027867956422779,0.5805933745126859,1.957851771321591,1.0436999193085896,0.548748305334988,1.9299198256046541,14.79,1.7292,1.6662208875522424,0.6577708038399016,-0.608640802407249,1.5074870651707126,0.6457699215174063,-0.22003214415138586,0.1978219754562222,0.047144729656823064,236.17,6.916104871212005,0.4948612148043168,0.20429276005067107,5.43148477166178,0.9019933523216856,0.37864036954155966,1.267863028257337,108.83,9.901232752493689e-05,0.0,20.5,0.03615432853547324,0.0,384.56,1.4982860364813506,0.3693382729660901,5.320059250366164,0.0410992127450112
Gibberish - DC_22,5.06683497840702,3.0648862687637344,1.4805671577993016,5.42599537790368,3.1145403660932236,1.6624934701335365,0.2405503194193587,1.6709366967808403,1.7154207471437615,3.8013886650269035,0.848639372083122,1.0040024900446514,7.604256312486389,5.29,0.722,2.1354977366379324,0.2813671540619399,-2.727243656524734,1.52022325587511,0.4229067214776854,0.21691030510240672,0.12590939011895605,0.03480560445551097,114.78,3.1862464739435374,0.7027297213372962,0.26147345957998236,1.8302850563751785,0.7530065418166921,0.19520477207995635,0.8253869311329262,99.18,0.009767314465203418,0.0,26,0.07196713571701448,0.042883554176768014,530.97,1.4047621973862476,0.37653160200135605,12.777171740298703,0.028852440908048067
Gibberish - DC_23,3.706887602680283,1.7730455116355621,0.22642590442581104,4.318532793479548,1.6423815928232173,0.2644810035193524,-0.23718502296873276,1.2483437241125928,0.9340561066013691,3.3508995109527886,1.154101773469327,0.7694666642336324,3.077665099727502,17.3,2.7068,1.7819213113461603,0.6175944848987677,-0.7676384916324952,0.9889358554808608,0.5326367489976624,0.5007083340821699,0.23177861197639965,0.04282101084281868,174.4,5.448862584207341,0.7022786787977371,0.422270961371413,1.7489376951817648,0.9883393326270823,0.2572474985502528,1.3017015278328758,68.11,0.0006380387236657169,4.8543689320388346e-05,21.66,0.08435773174132966,0.0053932436812360665,262.29,1.3212517397371384,0.27792355514598494,2.511118839528057,0.011070722148613023
Gibberish - DC_24,5.038914889125421,2.821145684854783,0.4946894049675428,5.608533187690955,2.765715853894285,0.17598930563051882,-0.057730348449382664,1.4393819707599376,1.2052983718315868,3.151064440123923,1.080768038311126,0.9330833646617205,2.958506026509583,13.44,1.6524,1.9692126863622297,0.4322761268363258,-1.1513871459631115,0.8461050741448481,0.4214951408569918,1.0369190978540939,0.15484936525209142,0.03513699287873656,158.47,5.93615465213966,0.7765597282550619,0.2924823669820425,1.1006523231944667,0.773024693567137,0.28585304695841796,0.9814021895317229,58.93,0.0,0.0,22,0.005402349665458042,0.0,344.43,1.1852396655759172,0.22462389497942184,11.232127095147431,0.08232383354783811
